seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,"[0.         0.         0.         0.08333333 0.08333333 0.5
 0.5        0.58333333 0.58333333 1.        ]","[0.         0.16666667 0.33333333 0.33333333 0.5        0.5
 0.83333333 0.83333333 1.         1.        ]",0.7222222222222222,"[0.46153846 0.41666667 0.45454545 0.4        0.33333333 0.375
 0.42857143 0.5        0.6        0.75       0.66666667 1.
 1.         1.        ]","[1.         0.83333333 0.83333333 0.66666667 0.5        0.5
 0.5        0.5        0.5        0.5        0.33333333 0.33333333
 0.16666667 0.        ]",0.6776806526806527,0.6666666666666666,MAK
1,"[0.         0.05555556 0.11111111 0.11111111 0.27777778 0.27777778
 0.55555556 0.66666667 1.        ]","[0.         0.         0.         0.66666667 0.66666667 1.
 1.         1.         1.        ]",0.8333333333333334,"[0.375      0.28571429 0.33333333 0.4        0.5        0.33333333
 0.         0.         1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.33333333
 0.         0.         0.        ]",0.4027777777777778,0.8571428571428571,MAK
2,[0.     0.     0.4375 0.4375 0.5    0.5    0.625  0.625  1.    ],[0.   0.25 0.25 0.5  0.5  0.75 0.75 1.   1.  ],0.609375,"[0.28571429 0.23076923 0.25       0.27272727 0.2        0.22222222
 0.125      0.14285714 0.16666667 0.2        0.25       0.33333333
 0.5        1.         1.        ]","[1.   0.75 0.75 0.75 0.5  0.5  0.25 0.25 0.25 0.25 0.25 0.25 0.25 0.25
 0.  ]",0.44516594516594515,0.8,MAK
3,[0.         0.         0.         0.14285714 0.14285714 1.        ],[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],0.9523809523809524,[0.6        0.5        0.66666667 1.         1.         1.        ],[1.         0.66666667 0.66666667 0.66666667 0.33333333 0.        ],0.8666666666666667,0.8235294117647058,MAK
4,[0.         0.05555556 0.05555556 0.27777778 0.27777778 1.        ],[0.  0.  0.5 0.5 1.  1. ],0.8333333333333334,"[0.28571429 0.16666667 0.2        0.25       0.33333333 0.5
 0.         1.        ]",[1.  0.5 0.5 0.5 0.5 0.5 0.  0. ],0.39285714285714285,0.9,MAK
5,[0.  0.  0.1 0.2 0.4 0.4 0.7 0.7 1. ],[0.   0.25 0.25 0.5  0.5  0.75 0.75 1.   1.  ],0.6875,"[0.36363636 0.3        0.33333333 0.375      0.42857143 0.33333333
 0.4        0.5        0.5        1.         1.        ]",[1.   0.75 0.75 0.75 0.75 0.5  0.5  0.5  0.25 0.25 0.  ],0.573051948051948,0.7142857142857143,MAK
6,"[0.         0.08333333 0.08333333 0.16666667 0.16666667 0.58333333
 0.58333333 1.        ]",[0.   0.   0.25 0.25 0.75 0.75 1.   1.  ],0.75,"[0.36363636 0.3        0.33333333 0.375      0.42857143 0.5
 0.6        0.33333333 0.5        0.         1.        ]",[1.   0.75 0.75 0.75 0.75 0.75 0.75 0.25 0.25 0.   0.  ],0.5159090909090909,0.75,MAK
7,"[0.         0.04347826 0.08695652 0.08695652 0.7826087  0.7826087
 1.        ]","[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.
 1.        ]",0.7028985507246376,"[0.14285714 0.1        0.10526316 0.11111111 0.11764706 0.125
 0.13333333 0.14285714 0.15384615 0.16666667 0.18181818 0.2
 0.22222222 0.25       0.28571429 0.33333333 0.4        0.5
 0.33333333 0.5        1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.33333333 0.33333333 0.        ]",0.38095238095238093,0.8846153846153846,MAK
8,[0.     0.     0.125  0.125  0.1875 0.1875 1.    ],"[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.
 1.        ]",0.8958333333333334,"[0.5        0.4        0.5        0.33333333 0.5        1.
 1.        ]","[1.         0.66666667 0.66666667 0.33333333 0.33333333 0.33333333
 0.        ]",0.6666666666666667,0.8421052631578947,MAK
9,[0.  0.1 0.1 0.2 0.2 0.8 0.8 1. ],[0.   0.   0.5  0.5  0.75 0.75 1.   1.  ],0.7000000000000001,"[0.33333333 0.27272727 0.3        0.33333333 0.375      0.42857143
 0.5        0.6        0.5        0.66666667 0.5        0.
 1.        ]",[1.   0.75 0.75 0.75 0.75 0.75 0.75 0.75 0.5  0.5  0.25 0.   0.  ],0.525,0.7142857142857143,MAK
10,"[0.         0.         0.         0.33333333 0.33333333 0.66666667
 0.66666667 1.         1.        ]","[0.         0.14285714 0.42857143 0.42857143 0.71428571 0.71428571
 0.85714286 0.85714286 1.        ]",0.6666666666666667,"[0.53846154 0.5        0.54545455 0.6        0.55555556 0.625
 0.71428571 0.66666667 0.6        0.75       1.         1.
 1.         1.        ]","[1.         0.85714286 0.85714286 0.85714286 0.71428571 0.71428571
 0.71428571 0.57142857 0.42857143 0.42857143 0.42857143 0.28571429
 0.14285714 0.        ]",0.788487702773417,0.46153846153846156,MAK
11,[0.  0.  0.1 0.1 0.3 0.3 1.  1. ],"[0.         0.14285714 0.14285714 0.71428571 0.71428571 0.85714286
 0.85714286 1.        ]",0.7571428571428571,"[0.41176471 0.375      0.4        0.42857143 0.46153846 0.5
 0.54545455 0.6        0.66666667 0.625      0.71428571 0.83333333
 0.8        0.75       0.66666667 0.5        1.         1.        ]","[1.         0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.85714286 0.85714286 0.85714286 0.71428571 0.71428571 0.71428571
 0.57142857 0.42857143 0.28571429 0.14285714 0.14285714 0.        ]",0.7326330532212886,0.5882352941176471,MAK
12,"[0.         0.         0.         0.07692308 0.07692308 0.30769231
 0.30769231 0.38461538 0.53846154 0.84615385 0.84615385 1.        ]",[0.  0.2 0.4 0.4 0.6 0.6 0.8 0.8 0.8 0.8 1.  1. ],0.7538461538461538,"[0.3125     0.26666667 0.28571429 0.30769231 0.33333333 0.36363636
 0.44444444 0.5        0.42857143 0.5        0.6        0.75
 0.66666667 1.         1.         1.        ]",[1.  0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.6 0.6 0.6 0.6 0.4 0.4 0.2 0. ],0.7124999999999999,0.7222222222222222,MAK
13,[0.         0.         0.         0.4        0.46666667 1.        ],[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],0.8555555555555555,"[0.3        0.25       0.28571429 0.33333333 0.4        0.5
 0.66666667 1.         1.         1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.33333333 0.        ]",0.7666666666666666,0.8333333333333334,MAK
14,"[0.         0.         0.07692308 0.07692308 0.46153846 0.46153846
 1.        ]","[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.
 1.        ]",0.8205128205128205,"[0.33333333 0.25       0.28571429 0.33333333 0.4        0.5
 0.66666667 0.5        1.         1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.33333333 0.33333333 0.        ]",0.6666666666666666,0.8125,MAK
15,"[0.         0.         0.         0.18181818 0.18181818 0.36363636
 0.63636364 0.63636364 1.        ]",[0.  0.2 0.6 0.6 0.8 0.8 0.8 1.  1. ],0.8363636363636364,"[0.41666667 0.36363636 0.4        0.44444444 0.5        0.66666667
 0.6        0.75       1.         1.         1.         1.        ]",[1.  0.8 0.8 0.8 0.8 0.8 0.6 0.6 0.6 0.4 0.2 0. ],0.8166666666666667,0.6875,MAK
16,"[0.         0.         0.11111111 0.11111111 0.22222222 0.22222222
 0.33333333 0.33333333 0.44444444 0.44444444 0.55555556 0.55555556
 0.66666667 1.        ]","[0.         0.14285714 0.14285714 0.42857143 0.42857143 0.57142857
 0.57142857 0.71428571 0.71428571 0.85714286 0.85714286 1.
 1.         1.        ]",0.746031746031746,"[0.58333333 0.54545455 0.6        0.55555556 0.625      0.57142857
 0.66666667 0.6        0.75       0.66666667 0.5        1.
 1.        ]","[1.         0.85714286 0.85714286 0.71428571 0.71428571 0.57142857
 0.57142857 0.42857143 0.42857143 0.28571429 0.14285714 0.14285714
 0.        ]",0.6988095238095238,0.5625,MAK
17,"[0.         0.         0.         0.16666667 0.16666667 0.33333333
 0.33333333 0.41666667 0.58333333 0.66666667 0.66666667 0.83333333
 0.83333333 1.         1.        ]","[0.    0.125 0.375 0.375 0.5   0.5   0.625 0.625 0.625 0.625 0.75  0.75
 0.875 0.875 1.   ]",0.625,"[0.4        0.36842105 0.38888889 0.41176471 0.375      0.4
 0.42857143 0.38461538 0.41666667 0.5        0.55555556 0.5
 0.57142857 0.66666667 0.6        0.75       1.         1.
 1.         1.        ]","[1.    0.875 0.875 0.875 0.75  0.75  0.75  0.625 0.625 0.625 0.625 0.5
 0.5   0.5   0.375 0.375 0.375 0.25  0.125 0.   ]",0.6828197945845005,0.65,MAK
18,"[0.         0.         0.         0.28571429 0.28571429 1.
 1.        ]",[0.  0.2 0.6 0.6 0.8 0.8 1. ],0.7428571428571429,"[0.26315789 0.22222222 0.23529412 0.25       0.26666667 0.28571429
 0.30769231 0.33333333 0.36363636 0.4        0.44444444 0.5
 0.42857143 0.5        0.6        0.75       1.         1.
 1.         1.        ]","[1.  0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.6 0.6 0.6 0.6 0.6 0.4
 0.2 0. ]",0.7526315789473683,0.7368421052631579,MAK
19,"[0.         0.         0.11764706 0.23529412 0.29411765 0.41176471
 1.        ]",[0.  0.5 0.5 0.5 1.  1.  1. ],0.8676470588235294,[0.28571429 0.2        0.33333333 0.5        1.         1.        ],[1.  0.5 0.5 0.5 0.5 0. ],0.6428571428571428,0.8947368421052632,MAK
20,"[0.         0.         0.         0.07692308 0.15384615 0.46153846
 0.53846154 0.69230769 0.76923077 0.76923077 1.        ]","[0.         0.11111111 0.55555556 0.55555556 0.66666667 0.66666667
 0.77777778 0.77777778 0.77777778 1.         1.        ]",0.7606837606837606,"[0.47368421 0.44444444 0.41176471 0.4375     0.5        0.5
 0.54545455 0.6        0.66666667 0.75       0.83333333 1.
 1.         1.         1.         1.         1.        ]","[1.         0.88888889 0.77777778 0.77777778 0.77777778 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.55555556 0.55555556
 0.44444444 0.33333333 0.22222222 0.11111111 0.        ]",0.7964587394411956,0.5909090909090909,MAK
21,[0.         0.08333333 0.16666667 0.16666667 0.33333333 1.        ],[0. 0. 0. 1. 1. 1.],0.8333333333333334,[0.33333333 0.         0.         1.        ],[1. 0. 0. 0.],0.3333333333333333,0.9230769230769231,MAK
22,"[0.         0.09090909 0.54545455 0.54545455 0.63636364 0.63636364
 1.        ]",[0.  0.  0.  0.5 0.5 1.  1. ],0.4090909090909091,"[0.22222222 0.125      0.14285714 0.         0.         0.
 0.         0.         0.         1.        ]",[1.  0.5 0.5 0.  0.  0.  0.  0.  0.  0. ],0.18253968253968253,0.8461538461538461,MAK
