seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,"[0.         0.         0.         0.03703704 0.03703704 0.05555556
 0.05555556 0.09259259 0.09259259 0.11111111 0.11111111 0.12962963
 0.18518519 0.22222222 0.27777778 0.31481481 0.37037037 0.37037037
 0.42592593 0.46296296 0.48148148 0.48148148 0.51851852 0.55555556
 0.57407407 0.62962963 0.66666667 0.66666667 0.68518519 0.72222222
 0.74074074 0.77777778 0.87037037 0.90740741 0.92592593 0.92592593
 0.96296296 1.        ]","[0.     0.0625 0.1875 0.1875 0.375  0.375  0.5    0.5    0.5625 0.5625
 0.625  0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.75   0.75   0.8125
 0.8125 0.875  0.875  0.875  0.875  0.875  0.875  0.9375 0.9375 0.9375
 0.9375 0.9375 0.9375 0.9375 0.9375 1.     1.     1.    ]",0.7853009259259259,"[0.24242424 0.23076923 0.234375   0.24193548 0.24590164 0.25
 0.25423729 0.25862069 0.26315789 0.27272727 0.27777778 0.28846154
 0.29411765 0.28       0.28571429 0.29166667 0.31111111 0.31818182
 0.33333333 0.34146341 0.35       0.33333333 0.34210526 0.34285714
 0.35294118 0.36363636 0.375      0.35483871 0.36666667 0.37931034
 0.39285714 0.42307692 0.44       0.45833333 0.47826087 0.52380952
 0.55       0.57894737 0.61111111 0.625      0.6        0.64285714
 0.61538462 0.66666667 0.72727273 0.7        0.66666667 0.75
 0.71428571 0.66666667 0.6        0.75       1.         1.
 1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375
 0.9375 0.9375 0.9375 0.875  0.875  0.875  0.875  0.875  0.875  0.875
 0.875  0.8125 0.8125 0.75   0.75   0.75   0.75   0.6875 0.6875 0.6875
 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.625
 0.5625 0.5625 0.5    0.5    0.5    0.4375 0.375  0.375  0.3125 0.25
 0.1875 0.1875 0.1875 0.125  0.0625 0.    ]",0.6275525321771451,0.7714285714285715,SUN
1,"[0.         0.         0.         0.04444444 0.04444444 0.08888889
 0.08888889 0.11111111 0.11111111 0.15555556 0.17777778 0.4
 0.42222222 0.46666667 0.51111111 0.55555556 0.6        0.6
 0.62222222 0.62222222 0.64444444 0.68888889 0.68888889 0.73333333
 0.77777778 1.        ]","[0.         0.04761905 0.33333333 0.33333333 0.38095238 0.38095238
 0.47619048 0.47619048 0.61904762 0.61904762 0.71428571 0.71428571
 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476 0.85714286
 0.85714286 0.9047619  0.95238095 0.95238095 1.         1.
 1.         1.        ]",0.7883597883597883,"[0.40384615 0.39215686 0.4        0.40816327 0.40425532 0.39130435
 0.4        0.38636364 0.37209302 0.3902439  0.4        0.41025641
 0.43243243 0.44444444 0.45714286 0.45454545 0.46875    0.48387097
 0.5        0.51724138 0.53571429 0.55555556 0.57692308 0.6
 0.625      0.65217391 0.65       0.68421053 0.72222222 0.70588235
 0.6875     0.66666667 0.71428571 0.69230769 0.66666667 0.72727273
 0.8        0.77777778 0.875      1.         1.         1.
 1.         1.         1.         1.         1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.9047619  0.85714286
 0.85714286 0.80952381 0.76190476 0.76190476 0.76190476 0.76190476
 0.76190476 0.76190476 0.76190476 0.71428571 0.71428571 0.71428571
 0.71428571 0.71428571 0.71428571 0.71428571 0.71428571 0.71428571
 0.71428571 0.71428571 0.61904762 0.61904762 0.61904762 0.57142857
 0.52380952 0.47619048 0.47619048 0.42857143 0.38095238 0.38095238
 0.38095238 0.33333333 0.33333333 0.33333333 0.28571429 0.23809524
 0.19047619 0.14285714 0.0952381  0.04761905 0.        ]",0.718396049507213,0.6818181818181818,SUN
2,"[0.         0.         0.         0.05454545 0.05454545 0.07272727
 0.07272727 0.21818182 0.25454545 0.25454545 0.41818182 0.41818182
 0.65454545 0.65454545 0.67272727 0.70909091 0.72727273 0.8
 0.83636364 0.83636364 0.87272727 0.90909091 1.        ]","[0.         0.04761905 0.38095238 0.38095238 0.52380952 0.52380952
 0.66666667 0.66666667 0.66666667 0.76190476 0.76190476 0.80952381
 0.80952381 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.85714286 1.         1.         1.         1.        ]",0.7870129870129869,"[0.31343284 0.3030303  0.29230769 0.28125    0.28571429 0.29032258
 0.3        0.31034483 0.31578947 0.32727273 0.33333333 0.32075472
 0.32692308 0.33333333 0.34       0.34693878 0.35416667 0.36170213
 0.36956522 0.37777778 0.38636364 0.39534884 0.4047619  0.41463415
 0.425      0.41025641 0.42105263 0.43243243 0.44444444 0.45714286
 0.47058824 0.48484848 0.5        0.51612903 0.53333333 0.51724138
 0.5        0.53846154 0.56       0.58333333 0.60869565 0.63636364
 0.66666667 0.7        0.73684211 0.77777778 0.76470588 0.75
 0.73333333 0.78571429 0.76923077 0.75       0.72727273 0.8
 0.88888889 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.95238095 0.9047619  0.85714286 0.85714286 0.85714286
 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.80952381
 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.80952381 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476
 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476 0.71428571
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.61904762 0.57142857
 0.52380952 0.52380952 0.47619048 0.42857143 0.38095238 0.38095238
 0.38095238 0.38095238 0.33333333 0.28571429 0.23809524 0.19047619
 0.14285714 0.0952381  0.04761905 0.        ]",0.7292908377243656,0.7236842105263158,SUN
3,"[0.   0.   0.   0.   0.   0.08 0.08 0.1  0.1  0.12 0.12 0.14 0.14 0.16
 0.2  0.24 0.26 0.3  0.34 0.36 0.38 0.42 0.54 0.56 1.  ]","[0.     0.0625 0.3125 0.4375 0.5    0.5    0.5625 0.5625 0.625  0.625
 0.6875 0.6875 0.75   0.8125 0.8125 0.875  0.875  0.875  0.875  0.9375
 0.9375 0.9375 0.9375 1.     1.    ]",0.893125,"[0.36363636 0.35714286 0.36585366 0.375      0.38461538 0.39473684
 0.40540541 0.41666667 0.44117647 0.45454545 0.4516129  0.46666667
 0.48275862 0.51851852 0.53846154 0.56521739 0.59090909 0.61904762
 0.63157895 0.61111111 0.64705882 0.625      0.66666667 0.64285714
 0.69230769 0.66666667 0.72727273 0.8        0.88888889 1.
 1.         1.         1.         1.         1.         1.
 1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375
 0.875  0.875  0.875  0.875  0.875  0.8125 0.8125 0.8125 0.75   0.6875
 0.6875 0.625  0.625  0.5625 0.5625 0.5    0.5    0.5    0.5    0.5
 0.4375 0.3125 0.25   0.1875 0.125  0.0625 0.    ]",0.7883314440976981,0.7575757575757576,SUN
4,"[0.         0.         0.         0.0212766  0.0212766  0.04255319
 0.04255319 0.06382979 0.08510638 0.08510638 0.12765957 0.12765957
 0.14893617 0.17021277 0.19148936 0.19148936 0.21276596 0.29787234
 0.34042553 0.40425532 0.53191489 0.57446809 0.63829787 0.68085106
 0.74468085 0.76595745 0.87234043 0.91489362 1.        ]","[0.         0.07142857 0.21428571 0.21428571 0.28571429 0.28571429
 0.5        0.57142857 0.57142857 0.64285714 0.64285714 0.71428571
 0.71428571 0.78571429 0.78571429 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 1.         1.         1.         1.        ]",0.8776595744680852,"[0.28       0.27083333 0.27659574 0.2826087  0.28888889 0.30232558
 0.30952381 0.31707317 0.325      0.34210526 0.35135135 0.36111111
 0.37142857 0.38235294 0.39393939 0.40625    0.44827586 0.46428571
 0.48148148 0.52       0.56521739 0.59090909 0.57142857 0.55
 0.57894737 0.58823529 0.625      0.6        0.64285714 0.69230769
 0.66666667 0.72727273 0.77777778 0.75       0.71428571 0.66666667
 0.8        0.75       1.         1.         1.         1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.92857143 0.85714286 0.78571429
 0.78571429 0.71428571 0.71428571 0.64285714 0.64285714 0.64285714
 0.57142857 0.57142857 0.5        0.42857143 0.35714286 0.28571429
 0.28571429 0.21428571 0.21428571 0.14285714 0.07142857 0.        ]",0.7219949244573305,0.7704918032786885,SUN
5,"[0.         0.         0.         0.03703704 0.03703704 0.05555556
 0.05555556 0.05555556 0.07407407 0.11111111 0.11111111 0.11111111
 0.14814815 0.14814815 0.22222222 0.22222222 0.24074074 0.31481481
 0.37037037 0.37037037 0.38888889 0.42592593 0.46296296 0.5
 0.53703704 0.59259259 0.62962963 0.62962963 0.66666667 0.68518519
 0.7037037  0.88888889 0.92592593 1.        ]","[0.   0.05 0.15 0.15 0.2  0.2  0.25 0.35 0.4  0.4  0.5  0.55 0.55 0.7
 0.7  0.8  0.8  0.8  0.8  0.85 0.85 0.85 0.9  0.9  0.9  0.9  0.9  0.95
 0.95 0.95 1.   1.   1.   1.  ]",0.8185185185185185,"[0.34482759 0.33928571 0.34545455 0.35849057 0.34615385 0.36
 0.36734694 0.375      0.38297872 0.4        0.40909091 0.41860465
 0.425      0.44736842 0.45945946 0.44444444 0.45714286 0.47058824
 0.48484848 0.51612903 0.55172414 0.57142857 0.55555556 0.53846154
 0.56       0.58333333 0.60869565 0.63636364 0.61904762 0.6
 0.57894737 0.64705882 0.625      0.57142857 0.61538462 0.66666667
 0.7        0.625      0.57142857 0.66666667 0.6        0.75
 1.         1.         1.         1.        ]","[1.   0.95 0.95 0.95 0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.85 0.85
 0.85 0.8  0.8  0.8  0.8  0.8  0.8  0.8  0.75 0.7  0.7  0.7  0.7  0.7
 0.65 0.6  0.55 0.55 0.5  0.4  0.4  0.4  0.35 0.25 0.2  0.2  0.15 0.15
 0.15 0.1  0.05 0.  ]",0.6409584901062506,0.7297297297297297,SUN
6,"[0.         0.         0.         0.01754386 0.01754386 0.05263158
 0.05263158 0.14035088 0.14035088 0.15789474 0.15789474 0.22807018
 0.22807018 0.24561404 0.33333333 0.40350877 0.54385965 0.57894737
 0.68421053 0.71929825 0.75438596 0.78947368 1.        ]","[0.         0.07692308 0.23076923 0.23076923 0.61538462 0.61538462
 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385 0.84615385
 0.92307692 1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]",0.9304993252361673,"[0.48148148 0.48       0.45833333 0.47826087 0.5        0.52380952
 0.55       0.52631579 0.55555556 0.52941176 0.5625     0.6
 0.64285714 0.69230769 0.75       0.72727273 0.8        0.88888889
 0.875      0.85714286 0.83333333 0.8        0.75       1.
 1.         1.         1.        ]","[1.         0.92307692 0.84615385 0.84615385 0.84615385 0.84615385
 0.84615385 0.76923077 0.76923077 0.69230769 0.69230769 0.69230769
 0.69230769 0.69230769 0.69230769 0.61538462 0.61538462 0.61538462
 0.53846154 0.46153846 0.38461538 0.30769231 0.23076923 0.23076923
 0.15384615 0.07692308 0.        ]",0.7747232397232395,0.8142857142857143,SUN
7,"[0.   0.02 0.02 0.04 0.06 0.06 0.06 0.08 0.08 0.12 0.14 0.18 0.22 0.28
 0.34 0.4  0.44 0.48 0.5  0.54 0.56 0.62 0.7  0.82 0.86 0.88 0.88 1.  ]","[0.         0.         0.2        0.2        0.26666667 0.4
 0.66666667 0.66666667 0.73333333 0.73333333 0.8        0.8
 0.8        0.8        0.8        0.8        0.8        0.93333333
 0.93333333 0.93333333 0.93333333 0.93333333 0.93333333 0.93333333
 0.93333333 0.93333333 1.         1.        ]",0.8346666666666667,"[0.25423729 0.24137931 0.24561404 0.25454545 0.25925926 0.26415094
 0.26923077 0.2745098  0.28       0.28571429 0.29787234 0.31111111
 0.33333333 0.34146341 0.35897436 0.36842105 0.36111111 0.35294118
 0.375      0.38709677 0.4        0.4137931  0.46153846 0.48
 0.5        0.52173913 0.57142857 0.6        0.63157895 0.64705882
 0.6875     0.73333333 0.71428571 0.76923077 0.72727273 0.66666667
 0.625      0.57142857 0.6        0.75       0.66666667 0.5
 0.         1.        ]","[1.         0.93333333 0.93333333 0.93333333 0.93333333 0.93333333
 0.93333333 0.93333333 0.93333333 0.93333333 0.93333333 0.93333333
 0.93333333 0.93333333 0.93333333 0.93333333 0.86666667 0.8
 0.8        0.8        0.8        0.8        0.8        0.8
 0.8        0.8        0.8        0.8        0.8        0.73333333
 0.73333333 0.73333333 0.66666667 0.66666667 0.53333333 0.4
 0.33333333 0.26666667 0.2        0.2        0.13333333 0.06666667
 0.         0.        ]",0.608096708689929,0.7692307692307693,SUN
8,"[0.         0.         0.04166667 0.04166667 0.0625     0.0625
 0.08333333 0.08333333 0.125      0.125      0.22916667 0.22916667
 0.25       0.35416667 0.35416667 0.375      0.375      0.39583333
 0.4375     0.58333333 0.625      0.64583333 0.64583333 0.66666667
 0.66666667 0.79166667 0.79166667 0.91666667 0.95833333 1.        ]","[0.         0.05882353 0.05882353 0.17647059 0.17647059 0.23529412
 0.23529412 0.41176471 0.41176471 0.52941176 0.52941176 0.58823529
 0.64705882 0.64705882 0.70588235 0.70588235 0.76470588 0.76470588
 0.76470588 0.76470588 0.76470588 0.76470588 0.82352941 0.82352941
 0.94117647 0.94117647 1.         1.         1.         1.        ]",0.7285539215686274,"[0.30909091 0.2962963  0.30188679 0.30769231 0.31372549 0.32
 0.32653061 0.33333333 0.31914894 0.30434783 0.31111111 0.29545455
 0.30232558 0.31707317 0.325      0.33333333 0.34210526 0.35135135
 0.36111111 0.37142857 0.38235294 0.40625    0.41935484 0.4
 0.4137931  0.39285714 0.40740741 0.42307692 0.44       0.45833333
 0.47826087 0.47619048 0.45       0.47368421 0.5        0.52941176
 0.5625     0.6        0.57142857 0.53846154 0.58333333 0.63636364
 0.6        0.55555556 0.5        0.57142857 0.5        0.6
 0.5        0.33333333 0.5        1.         1.        ]","[1.         0.94117647 0.94117647 0.94117647 0.94117647 0.94117647
 0.94117647 0.94117647 0.88235294 0.82352941 0.82352941 0.76470588
 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588
 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588 0.70588235
 0.70588235 0.64705882 0.64705882 0.64705882 0.64705882 0.64705882
 0.64705882 0.58823529 0.52941176 0.52941176 0.52941176 0.52941176
 0.52941176 0.52941176 0.47058824 0.41176471 0.41176471 0.41176471
 0.35294118 0.29411765 0.23529412 0.23529412 0.17647059 0.17647059
 0.11764706 0.05882353 0.05882353 0.05882353 0.        ]",0.5114741124938558,0.7384615384615385,SUN
9,"[0.         0.         0.         0.07272727 0.07272727 0.18181818
 0.18181818 0.2        0.2        0.23636364 0.25454545 0.29090909
 0.29090909 0.32727273 0.38181818 0.38181818 0.4        0.41818182
 0.50909091 0.50909091 0.54545455 0.58181818 0.61818182 0.63636364
 0.67272727 0.69090909 0.69090909 0.72727273 0.8        0.8
 1.        ]","[0.         0.05882353 0.41176471 0.41176471 0.47058824 0.47058824
 0.52941176 0.52941176 0.58823529 0.58823529 0.58823529 0.58823529
 0.64705882 0.64705882 0.64705882 0.70588235 0.70588235 0.76470588
 0.76470588 0.88235294 0.88235294 0.88235294 0.88235294 0.88235294
 0.88235294 0.88235294 0.94117647 0.94117647 0.94117647 1.
 1.        ]",0.7620320855614973,"[0.27868852 0.26666667 0.27118644 0.27586207 0.28070175 0.28571429
 0.2962963  0.28301887 0.28846154 0.3        0.30612245 0.31914894
 0.32608696 0.33333333 0.34883721 0.33333333 0.31707317 0.325
 0.33333333 0.34210526 0.35135135 0.36111111 0.35294118 0.36363636
 0.34375    0.35483871 0.36666667 0.37931034 0.40740741 0.38461538
 0.41666667 0.43478261 0.47619048 0.45       0.47368421 0.44444444
 0.47058824 0.5        0.53333333 0.57142857 0.61538462 0.66666667
 0.63636364 0.7        0.77777778 0.875      1.         1.
 1.         1.         1.         1.         1.         1.        ]","[1.         0.94117647 0.94117647 0.94117647 0.94117647 0.94117647
 0.94117647 0.88235294 0.88235294 0.88235294 0.88235294 0.88235294
 0.88235294 0.88235294 0.88235294 0.82352941 0.76470588 0.76470588
 0.76470588 0.76470588 0.76470588 0.76470588 0.70588235 0.70588235
 0.64705882 0.64705882 0.64705882 0.64705882 0.64705882 0.58823529
 0.58823529 0.58823529 0.58823529 0.52941176 0.52941176 0.47058824
 0.47058824 0.47058824 0.47058824 0.47058824 0.47058824 0.47058824
 0.41176471 0.41176471 0.41176471 0.41176471 0.41176471 0.35294118
 0.29411765 0.23529412 0.17647059 0.11764706 0.05882353 0.        ]",0.6474030352388506,0.7638888888888888,SUN
10,"[0.         0.         0.         0.01785714 0.01785714 0.03571429
 0.05357143 0.05357143 0.08928571 0.10714286 0.10714286 0.17857143
 0.17857143 0.19642857 0.21428571 0.23214286 0.23214286 0.28571429
 0.39285714 0.44642857 0.51785714 0.55357143 0.625      0.66071429
 0.71428571 0.76785714 0.78571429 0.83928571 0.92857143 0.96428571
 1.        ]","[0.  0.1 0.2 0.2 0.3 0.4 0.4 0.5 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9
 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 1.  1.  1.  1. ]",0.8366071428571429,"[0.1754386  0.16981132 0.17307692 0.18367347 0.1875     0.19148936
 0.19565217 0.20454545 0.20930233 0.21428571 0.2195122  0.225
 0.23684211 0.24324324 0.25       0.25714286 0.26470588 0.29032258
 0.3        0.31034483 0.32142857 0.33333333 0.34615385 0.36
 0.40909091 0.38095238 0.4        0.38888889 0.41176471 0.375
 0.4        0.42857143 0.46153846 0.5        0.45454545 0.5
 0.625      0.57142857 0.66666667 0.75       0.66666667 1.
 1.         1.        ]","[1.  0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9
 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.8 0.8 0.7 0.7 0.6 0.6 0.6 0.6 0.6 0.5 0.5
 0.5 0.4 0.4 0.3 0.2 0.2 0.1 0. ]",0.5937960878131157,0.8484848484848485,SUN
11,"[0.         0.         0.         0.01923077 0.01923077 0.11538462
 0.11538462 0.15384615 0.15384615 0.32692308 0.36538462 0.40384615
 0.46153846 0.5        0.55769231 0.59615385 0.59615385 0.63461538
 0.63461538 0.65384615 0.75       0.82692308 0.84615385 0.88461538
 0.98076923 0.98076923 1.        ]","[0.         0.08333333 0.25       0.25       0.5        0.5
 0.58333333 0.58333333 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.75       0.75
 0.83333333 0.91666667 0.91666667 0.91666667 0.91666667 0.91666667
 0.91666667 1.         1.        ]",0.734775641025641,"[0.19047619 0.17741935 0.18032787 0.18333333 0.18644068 0.18965517
 0.19298246 0.2        0.2037037  0.21153846 0.22       0.2244898
 0.22916667 0.23404255 0.23913043 0.24444444 0.23255814 0.21428571
 0.2195122  0.225      0.20512821 0.21052632 0.21621622 0.23529412
 0.25       0.27586207 0.28571429 0.2962963  0.32       0.33333333
 0.34782609 0.36363636 0.38095238 0.4        0.42105263 0.44444444
 0.47058824 0.5        0.46666667 0.5        0.53846154 0.5
 0.54545455 0.6        0.66666667 0.75       0.85714286 0.83333333
 0.8        0.75       1.         1.         1.         1.        ]","[1.         0.91666667 0.91666667 0.91666667 0.91666667 0.91666667
 0.91666667 0.91666667 0.91666667 0.91666667 0.91666667 0.91666667
 0.91666667 0.91666667 0.91666667 0.91666667 0.83333333 0.75
 0.75       0.75       0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.58333333 0.58333333 0.58333333 0.5
 0.5        0.5        0.5        0.5        0.5        0.41666667
 0.33333333 0.25       0.25       0.16666667 0.08333333 0.        ]",0.6184513752827707,0.8125,SUN
12,"[0.         0.         0.         0.         0.         0.03921569
 0.03921569 0.07843137 0.09803922 0.19607843 0.23529412 0.2745098
 0.31372549 0.33333333 0.37254902 0.37254902 0.37254902 0.41176471
 0.43137255 0.47058824 0.47058824 0.58823529 0.70588235 0.70588235
 0.74509804 0.78431373 0.8627451  0.90196078 0.94117647 0.94117647
 1.        ]","[0.         0.05555556 0.22222222 0.33333333 0.38888889 0.38888889
 0.5        0.5        0.55555556 0.55555556 0.55555556 0.55555556
 0.55555556 0.61111111 0.61111111 0.72222222 0.77777778 0.77777778
 0.83333333 0.83333333 0.88888889 0.88888889 0.88888889 0.94444444
 0.94444444 0.94444444 0.94444444 0.94444444 0.94444444 1.
 1.        ]",0.7696078431372548,"[0.27272727 0.26153846 0.265625   0.26984127 0.27868852 0.28333333
 0.28813559 0.29310345 0.29824561 0.30909091 0.31481481 0.32075472
 0.30769231 0.31372549 0.32       0.32653061 0.33333333 0.34042553
 0.34782609 0.36363636 0.38095238 0.4        0.38461538 0.39473684
 0.40540541 0.4        0.41176471 0.42424242 0.40625    0.36666667
 0.37931034 0.39285714 0.38461538 0.41666667 0.43478261 0.45454545
 0.5        0.52631579 0.55555556 0.58823529 0.625      0.66666667
 0.69230769 0.75       0.81818182 0.8        0.77777778 0.875
 1.         1.         1.         1.         1.         1.
 1.        ]","[1.         0.94444444 0.94444444 0.94444444 0.94444444 0.94444444
 0.94444444 0.94444444 0.94444444 0.94444444 0.94444444 0.94444444
 0.88888889 0.88888889 0.88888889 0.88888889 0.88888889 0.88888889
 0.88888889 0.88888889 0.88888889 0.88888889 0.83333333 0.83333333
 0.83333333 0.77777778 0.77777778 0.77777778 0.72222222 0.61111111
 0.61111111 0.61111111 0.55555556 0.55555556 0.55555556 0.55555556
 0.55555556 0.55555556 0.55555556 0.55555556 0.55555556 0.55555556
 0.5        0.5        0.5        0.44444444 0.38888889 0.38888889
 0.38888889 0.33333333 0.22222222 0.16666667 0.11111111 0.05555556
 0.        ]",0.6840741915034368,0.7391304347826086,SUN
13,"[0.         0.         0.         0.02040816 0.02040816 0.04081633
 0.04081633 0.06122449 0.06122449 0.08163265 0.08163265 0.16326531
 0.16326531 0.2244898  0.2244898  0.26530612 0.28571429 0.34693878
 0.3877551  0.40816327 0.44897959 0.46938776 0.51020408 0.53061224
 0.55102041 0.57142857 0.63265306 0.67346939 0.69387755 0.69387755
 0.73469388 0.73469388 0.7755102  0.85714286 0.85714286 0.91836735
 0.93877551 1.        ]","[0.         0.04761905 0.0952381  0.0952381  0.19047619 0.19047619
 0.42857143 0.42857143 0.52380952 0.52380952 0.61904762 0.61904762
 0.66666667 0.66666667 0.71428571 0.71428571 0.76190476 0.76190476
 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476
 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381 0.85714286
 0.85714286 0.9047619  0.9047619  0.9047619  0.95238095 0.95238095
 1.         1.        ]",0.7643343051506316,"[0.31343284 0.30769231 0.3125     0.31746032 0.32258065 0.31147541
 0.31666667 0.3220339  0.32758621 0.33333333 0.34545455 0.33333333
 0.34615385 0.33333333 0.34       0.35416667 0.37777778 0.38636364
 0.38095238 0.3902439  0.41025641 0.42105263 0.44444444 0.45714286
 0.48484848 0.5        0.51612903 0.53333333 0.53571429 0.55555556
 0.57692308 0.56       0.58333333 0.60869565 0.63636364 0.61904762
 0.65       0.68421053 0.72222222 0.76470588 0.75       0.73333333
 0.78571429 0.76923077 0.75       0.81818182 0.8        0.77777778
 0.75       0.71428571 0.66666667 0.8        0.75       0.66666667
 1.         1.         1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.95238095 0.9047619
 0.9047619  0.9047619  0.9047619  0.9047619  0.9047619  0.85714286
 0.85714286 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476
 0.76190476 0.76190476 0.76190476 0.76190476 0.71428571 0.71428571
 0.71428571 0.66666667 0.66666667 0.66666667 0.66666667 0.61904762
 0.61904762 0.61904762 0.61904762 0.61904762 0.57142857 0.52380952
 0.52380952 0.47619048 0.42857143 0.42857143 0.38095238 0.33333333
 0.28571429 0.23809524 0.19047619 0.19047619 0.14285714 0.0952381
 0.0952381  0.04761905 0.        ]",0.6638334191960746,0.7,SUN
14,"[0.         0.         0.         0.06666667 0.06666667 0.08888889
 0.08888889 0.08888889 0.17777778 0.17777778 0.24444444 0.24444444
 0.28888889 0.33333333 0.6        0.68888889 0.73333333 0.82222222
 0.82222222 0.84444444 0.84444444 0.88888889 0.93333333 1.        ]","[0.         0.06666667 0.46666667 0.46666667 0.53333333 0.53333333
 0.6        0.73333333 0.73333333 0.8        0.8        0.86666667
 0.86666667 0.86666667 0.86666667 0.86666667 0.86666667 0.86666667
 0.93333333 0.93333333 1.         1.         1.         1.        ]",0.8385185185185184,"[0.28301887 0.26923077 0.2745098  0.26       0.27083333 0.2826087
 0.28888889 0.29545455 0.30952381 0.325      0.33333333 0.34210526
 0.35135135 0.36111111 0.37142857 0.38235294 0.39393939 0.40625
 0.41935484 0.43333333 0.44827586 0.46428571 0.5        0.52
 0.54166667 0.52173913 0.54545455 0.57142857 0.6        0.57894737
 0.61111111 0.64705882 0.6875     0.73333333 0.69230769 0.66666667
 0.72727273 0.7        0.77777778 0.875      1.         1.
 1.         1.         1.         1.         1.         1.        ]","[1.         0.93333333 0.93333333 0.86666667 0.86666667 0.86666667
 0.86666667 0.86666667 0.86666667 0.86666667 0.86666667 0.86666667
 0.86666667 0.86666667 0.86666667 0.86666667 0.86666667 0.86666667
 0.86666667 0.86666667 0.86666667 0.86666667 0.86666667 0.86666667
 0.86666667 0.8        0.8        0.8        0.8        0.73333333
 0.73333333 0.73333333 0.73333333 0.73333333 0.6        0.53333333
 0.53333333 0.46666667 0.46666667 0.46666667 0.46666667 0.4
 0.33333333 0.26666667 0.2        0.13333333 0.06666667 0.        ]",0.7723628283173233,0.75,SUN
