seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,"[0.         0.         0.01851852 0.01851852 0.05555556 0.05555556
 0.11111111 0.11111111 0.16666667 0.16666667 0.2037037  0.2037037
 0.31481481 0.31481481 0.48148148 0.48148148 0.53703704 0.53703704
 0.55555556 0.55555556 0.62962963 0.62962963 0.77777778 0.77777778
 0.90740741 0.90740741 1.        ]","[0.     0.0625 0.0625 0.1875 0.1875 0.25   0.25   0.3125 0.3125 0.5
 0.5    0.5625 0.5625 0.625  0.625  0.6875 0.6875 0.75   0.75   0.8125
 0.8125 0.875  0.875  0.9375 0.9375 1.     1.    ]",0.6805555555555556,"[0.24615385 0.234375   0.23809524 0.24193548 0.24590164 0.25
 0.25423729 0.25862069 0.26315789 0.25       0.25454545 0.25925926
 0.26415094 0.26923077 0.2745098  0.28       0.28571429 0.29166667
 0.27659574 0.2826087  0.28888889 0.29545455 0.30232558 0.28571429
 0.29268293 0.275      0.28205128 0.28947368 0.2972973  0.27777778
 0.28571429 0.29411765 0.3030303  0.3125     0.32258065 0.33333333
 0.34482759 0.35714286 0.37037037 0.34615385 0.36       0.375
 0.39130435 0.40909091 0.42857143 0.45       0.42105263 0.44444444
 0.47058824 0.4375     0.4        0.35714286 0.38461538 0.41666667
 0.45454545 0.4        0.44444444 0.5        0.57142857 0.5
 0.6        0.75       0.66666667 0.5        1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.875
 0.875  0.875  0.875  0.875  0.875  0.875  0.875  0.875  0.8125 0.8125
 0.8125 0.8125 0.8125 0.75   0.75   0.6875 0.6875 0.6875 0.6875 0.625
 0.625  0.625  0.625  0.625  0.625  0.625  0.625  0.625  0.625  0.5625
 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5    0.5    0.5    0.4375
 0.375  0.3125 0.3125 0.3125 0.3125 0.25   0.25   0.25   0.25   0.1875
 0.1875 0.1875 0.125  0.0625 0.0625 0.    ]",0.4540239694615281,0.5857142857142857,SUN
1,"[0.         0.         0.04444444 0.04444444 0.06666667 0.06666667
 0.11111111 0.11111111 0.15555556 0.15555556 0.17777778 0.17777778
 0.24444444 0.24444444 0.33333333 0.33333333 0.44444444 0.44444444
 0.55555556 0.55555556 0.6        0.6        0.73333333 0.73333333
 0.82222222 0.82222222 0.84444444 0.84444444 0.93333333 0.93333333
 1.        ]","[0.         0.04761905 0.04761905 0.19047619 0.19047619 0.23809524
 0.23809524 0.33333333 0.33333333 0.38095238 0.38095238 0.47619048
 0.47619048 0.52380952 0.52380952 0.61904762 0.61904762 0.66666667
 0.66666667 0.71428571 0.71428571 0.80952381 0.80952381 0.85714286
 0.85714286 0.9047619  0.9047619  0.95238095 0.95238095 1.
 1.        ]",0.6486772486772487,"[0.33333333 0.32258065 0.32786885 0.33333333 0.33898305 0.34482759
 0.33333333 0.33928571 0.32727273 0.33333333 0.33962264 0.34615385
 0.35294118 0.34       0.34693878 0.35416667 0.36170213 0.36956522
 0.37777778 0.38636364 0.37209302 0.35714286 0.36585366 0.375
 0.35897436 0.36842105 0.37837838 0.38888889 0.4        0.41176471
 0.39393939 0.40625    0.41935484 0.43333333 0.44827586 0.46428571
 0.44444444 0.42307692 0.44       0.45833333 0.47826087 0.5
 0.47619048 0.5        0.52631579 0.55555556 0.52941176 0.5
 0.53333333 0.5        0.53846154 0.58333333 0.54545455 0.5
 0.55555556 0.625      0.57142857 0.66666667 0.6        0.5
 0.33333333 0.5        1.         1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.95238095 0.95238095
 0.9047619  0.9047619  0.85714286 0.85714286 0.85714286 0.85714286
 0.85714286 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.80952381 0.80952381 0.76190476 0.71428571 0.71428571 0.71428571
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.61904762 0.61904762 0.61904762 0.61904762 0.61904762 0.61904762
 0.57142857 0.52380952 0.52380952 0.52380952 0.52380952 0.52380952
 0.47619048 0.47619048 0.47619048 0.47619048 0.42857143 0.38095238
 0.38095238 0.33333333 0.33333333 0.33333333 0.28571429 0.23809524
 0.23809524 0.23809524 0.19047619 0.19047619 0.14285714 0.0952381
 0.04761905 0.04761905 0.04761905 0.        ]",0.4982425968370387,0.6818181818181818,SUN
2,"[0.         0.         0.         0.10909091 0.10909091 0.12727273
 0.12727273 0.18181818 0.18181818 0.2        0.2        0.27272727
 0.27272727 0.29090909 0.29090909 0.30909091 0.30909091 0.54545455
 0.54545455 0.78181818 0.78181818 0.81818182 0.81818182 0.87272727
 0.87272727 0.90909091 0.90909091 1.        ]","[0.         0.04761905 0.23809524 0.23809524 0.42857143 0.42857143
 0.47619048 0.47619048 0.52380952 0.52380952 0.57142857 0.57142857
 0.66666667 0.66666667 0.71428571 0.71428571 0.76190476 0.76190476
 0.80952381 0.80952381 0.85714286 0.85714286 0.9047619  0.9047619
 0.95238095 0.95238095 1.         1.        ]",0.7134199134199135,"[0.29577465 0.28571429 0.28985507 0.29411765 0.28358209 0.28787879
 0.29230769 0.296875   0.28571429 0.29032258 0.29508197 0.28333333
 0.28813559 0.29310345 0.29824561 0.30357143 0.30909091 0.31481481
 0.32075472 0.32692308 0.33333333 0.34       0.34693878 0.35416667
 0.36170213 0.34782609 0.35555556 0.36363636 0.37209302 0.38095238
 0.3902439  0.4        0.41025641 0.42105263 0.43243243 0.44444444
 0.45714286 0.47058824 0.48484848 0.46875    0.48387097 0.46666667
 0.48275862 0.46428571 0.44444444 0.46153846 0.48       0.5
 0.52173913 0.5        0.52380952 0.5        0.52631579 0.55555556
 0.58823529 0.5625     0.6        0.57142857 0.53846154 0.5
 0.45454545 0.5        0.55555556 0.625      0.71428571 0.83333333
 1.         1.         1.         1.         1.         1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.9047619  0.9047619
 0.9047619  0.9047619  0.85714286 0.85714286 0.85714286 0.80952381
 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.80952381 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476
 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476
 0.76190476 0.76190476 0.76190476 0.71428571 0.71428571 0.66666667
 0.66666667 0.61904762 0.57142857 0.57142857 0.57142857 0.57142857
 0.57142857 0.52380952 0.52380952 0.47619048 0.47619048 0.47619048
 0.47619048 0.42857143 0.42857143 0.38095238 0.33333333 0.28571429
 0.23809524 0.23809524 0.23809524 0.23809524 0.23809524 0.23809524
 0.23809524 0.19047619 0.14285714 0.0952381  0.04761905 0.        ]",0.5858566302684138,0.7631578947368421,SUN
3,"[0.   0.   0.   0.04 0.04 0.06 0.06 0.1  0.1  0.16 0.16 0.2  0.2  0.22
 0.22 0.46 0.46 0.56 0.56 0.72 0.72 1.  ]","[0.     0.0625 0.25   0.25   0.375  0.375  0.5    0.5    0.625  0.625
 0.6875 0.6875 0.75   0.75   0.8125 0.8125 0.875  0.875  0.9375 0.9375
 1.     1.    ]",0.83,"[0.30769231 0.29411765 0.3        0.30612245 0.3125     0.31914894
 0.32608696 0.33333333 0.34090909 0.34883721 0.33333333 0.34146341
 0.35       0.35897436 0.36842105 0.37837838 0.36111111 0.37142857
 0.38235294 0.39393939 0.40625    0.41935484 0.43333333 0.44827586
 0.46428571 0.48148148 0.5        0.52       0.54166667 0.52173913
 0.54545455 0.52380952 0.55       0.57894737 0.55555556 0.58823529
 0.625      0.66666667 0.64285714 0.61538462 0.66666667 0.72727273
 0.7        0.66666667 0.75       0.71428571 0.66666667 0.8
 1.         1.         1.         1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375
 0.875  0.875  0.875  0.875  0.875  0.875  0.8125 0.8125 0.8125 0.8125
 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.75
 0.75   0.6875 0.6875 0.6875 0.625  0.625  0.625  0.625  0.5625 0.5
 0.5    0.5    0.4375 0.375  0.375  0.3125 0.25   0.25   0.25   0.1875
 0.125  0.0625 0.    ]",0.6813786704373455,0.7727272727272727,SUN
4,"[0.         0.         0.         0.0212766  0.0212766  0.06382979
 0.06382979 0.17021277 0.17021277 0.19148936 0.19148936 0.34042553
 0.34042553 0.46808511 0.46808511 1.        ]","[0.         0.07142857 0.14285714 0.14285714 0.35714286 0.35714286
 0.5        0.5        0.71428571 0.71428571 0.78571429 0.78571429
 0.92857143 0.92857143 1.         1.        ]",0.8541033434650456,"[0.38888889 0.37142857 0.38235294 0.39393939 0.40625    0.41935484
 0.43333333 0.44827586 0.42857143 0.40740741 0.42307692 0.44
 0.45833333 0.47826087 0.5        0.52380952 0.55       0.52631579
 0.55555556 0.52941176 0.5        0.46666667 0.5        0.53846154
 0.58333333 0.63636364 0.7        0.66666667 0.625      0.71428571
 0.83333333 0.8        0.75       0.66666667 1.         1.
 1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.85714286 0.78571429 0.78571429 0.78571429
 0.78571429 0.78571429 0.78571429 0.78571429 0.78571429 0.71428571
 0.71428571 0.64285714 0.57142857 0.5        0.5        0.5
 0.5        0.5        0.5        0.42857143 0.35714286 0.35714286
 0.35714286 0.28571429 0.21428571 0.14285714 0.14285714 0.07142857
 0.        ]",0.65362167855648,0.7868852459016393,SUN
5,"[0.         0.01851852 0.01851852 0.03703704 0.03703704 0.05555556
 0.05555556 0.09259259 0.09259259 0.12962963 0.12962963 0.18518519
 0.18518519 0.2037037  0.2037037  0.22222222 0.22222222 0.35185185
 0.35185185 0.40740741 0.40740741 0.5        0.5        0.53703704
 0.53703704 0.57407407 0.57407407 0.77777778 0.77777778 1.        ]","[0.   0.   0.15 0.15 0.2  0.2  0.25 0.25 0.35 0.35 0.4  0.4  0.45 0.45
 0.5  0.5  0.55 0.55 0.6  0.6  0.7  0.7  0.85 0.85 0.9  0.9  0.95 0.95
 1.   1.  ]",0.7185185185185186,"[0.32258065 0.31147541 0.31666667 0.3220339  0.32758621 0.33333333
 0.33928571 0.34545455 0.35185185 0.35849057 0.36538462 0.37254902
 0.38       0.36734694 0.375      0.38297872 0.36956522 0.37777778
 0.38636364 0.37209302 0.35714286 0.34146341 0.35       0.35897436
 0.36842105 0.37837838 0.38888889 0.37142857 0.35294118 0.36363636
 0.375      0.38709677 0.36666667 0.37931034 0.39285714 0.40740741
 0.42307692 0.44       0.45833333 0.47826087 0.45454545 0.47619048
 0.45       0.47368421 0.44444444 0.47058824 0.5        0.53333333
 0.5        0.53846154 0.58333333 0.54545455 0.5        0.55555556
 0.625      0.57142857 0.66666667 0.6        0.75       0.66666667
 0.5        0.         1.        ]","[1.   0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.95 0.9
 0.9  0.9  0.85 0.85 0.85 0.8  0.75 0.7  0.7  0.7  0.7  0.7  0.7  0.65
 0.6  0.6  0.6  0.6  0.55 0.55 0.55 0.55 0.55 0.55 0.55 0.55 0.5  0.5
 0.45 0.45 0.4  0.4  0.4  0.4  0.35 0.35 0.35 0.3  0.25 0.25 0.25 0.2
 0.2  0.15 0.15 0.1  0.05 0.   0.  ]",0.48235816107877083,0.5945945945945946,SUN
6,"[0.         0.         0.03508772 0.03508772 0.05263158 0.05263158
 0.07017544 0.07017544 0.19298246 0.19298246 0.22807018 0.22807018
 0.26315789 0.26315789 0.35087719 0.35087719 0.45614035 0.45614035
 0.50877193 0.50877193 0.9122807  0.9122807  1.        ]","[0.         0.07692308 0.07692308 0.30769231 0.30769231 0.38461538
 0.38461538 0.46153846 0.46153846 0.53846154 0.53846154 0.61538462
 0.61538462 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385
 0.84615385 0.92307692 0.92307692 1.         1.        ]",0.7584345479082322,"[0.2        0.1875     0.19047619 0.19354839 0.19672131 0.2
 0.20338983 0.20689655 0.21052632 0.21428571 0.21818182 0.22222222
 0.22641509 0.23076923 0.23529412 0.24       0.24489796 0.25
 0.25531915 0.26086957 0.26666667 0.27272727 0.27906977 0.28571429
 0.29268293 0.275      0.28205128 0.28947368 0.2972973  0.27777778
 0.28571429 0.29411765 0.3030303  0.3125     0.32258065 0.33333333
 0.31034483 0.32142857 0.33333333 0.34615385 0.36       0.375
 0.34782609 0.36363636 0.38095238 0.35       0.36842105 0.38888889
 0.35294118 0.375      0.4        0.42857143 0.46153846 0.5
 0.54545455 0.6        0.55555556 0.625      0.57142857 0.66666667
 0.6        0.5        0.33333333 0.5        1.         1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.84615385 0.84615385 0.84615385 0.84615385 0.76923077
 0.76923077 0.76923077 0.76923077 0.76923077 0.76923077 0.76923077
 0.69230769 0.69230769 0.69230769 0.69230769 0.69230769 0.69230769
 0.61538462 0.61538462 0.61538462 0.53846154 0.53846154 0.53846154
 0.46153846 0.46153846 0.46153846 0.46153846 0.46153846 0.46153846
 0.46153846 0.46153846 0.38461538 0.38461538 0.30769231 0.30769231
 0.23076923 0.15384615 0.07692308 0.07692308 0.07692308 0.        ]",0.4815247303052181,0.7142857142857143,SUN
7,"[0.   0.02 0.02 0.06 0.06 0.08 0.08 0.1  0.1  0.12 0.12 0.14 0.14 0.34
 0.34 0.46 0.46 0.56 0.56 1.  ]","[0.         0.         0.26666667 0.26666667 0.33333333 0.33333333
 0.53333333 0.53333333 0.6        0.6        0.66666667 0.66666667
 0.73333333 0.73333333 0.86666667 0.86666667 0.93333333 0.93333333
 1.         1.        ]",0.8373333333333334,"[0.34883721 0.33333333 0.34146341 0.35       0.35897436 0.36842105
 0.37837838 0.36111111 0.37142857 0.38235294 0.39393939 0.40625
 0.41935484 0.43333333 0.4137931  0.39285714 0.40740741 0.42307692
 0.44       0.45833333 0.47826087 0.5        0.52380952 0.55
 0.57894737 0.61111111 0.58823529 0.625      0.6        0.64285714
 0.61538462 0.66666667 0.63636364 0.6        0.55555556 0.625
 0.57142857 0.66666667 0.8        0.75       0.66666667 0.5
 0.         1.        ]","[1.         0.93333333 0.93333333 0.93333333 0.93333333 0.93333333
 0.93333333 0.86666667 0.86666667 0.86666667 0.86666667 0.86666667
 0.86666667 0.86666667 0.8        0.73333333 0.73333333 0.73333333
 0.73333333 0.73333333 0.73333333 0.73333333 0.73333333 0.73333333
 0.73333333 0.73333333 0.66666667 0.66666667 0.6        0.6
 0.53333333 0.53333333 0.46666667 0.4        0.33333333 0.33333333
 0.26666667 0.26666667 0.26666667 0.2        0.13333333 0.06666667
 0.         0.        ]",0.5798671498751691,0.7076923076923077,SUN
8,"[0.         0.02083333 0.04166667 0.04166667 0.0625     0.0625
 0.10416667 0.10416667 0.125      0.125      0.14583333 0.14583333
 0.16666667 0.16666667 0.3125     0.3125     0.375      0.375
 0.47916667 0.47916667 0.52083333 0.52083333 0.60416667 0.60416667
 0.64583333 0.64583333 0.66666667 0.66666667 0.70833333 0.70833333
 1.        ]","[0.         0.         0.         0.11764706 0.11764706 0.29411765
 0.29411765 0.35294118 0.35294118 0.41176471 0.41176471 0.47058824
 0.47058824 0.52941176 0.52941176 0.58823529 0.58823529 0.64705882
 0.64705882 0.70588235 0.70588235 0.76470588 0.76470588 0.82352941
 0.82352941 0.88235294 0.88235294 0.94117647 0.94117647 1.
 1.        ]",0.6985294117647058,"[0.33333333 0.32       0.32653061 0.33333333 0.31914894 0.32608696
 0.31111111 0.31818182 0.3255814  0.30952381 0.31707317 0.325
 0.33333333 0.34210526 0.32432432 0.33333333 0.34285714 0.32352941
 0.33333333 0.34375    0.35483871 0.36666667 0.37931034 0.35714286
 0.37037037 0.38461538 0.4        0.375      0.39130435 0.40909091
 0.42857143 0.45       0.47368421 0.5        0.52941176 0.5
 0.53333333 0.5        0.53846154 0.5        0.54545455 0.5
 0.55555556 0.625      0.57142857 0.5        0.4        0.5
 0.33333333 0.         0.         1.        ]","[1.         0.94117647 0.94117647 0.94117647 0.88235294 0.88235294
 0.82352941 0.82352941 0.82352941 0.76470588 0.76470588 0.76470588
 0.76470588 0.76470588 0.70588235 0.70588235 0.70588235 0.64705882
 0.64705882 0.64705882 0.64705882 0.64705882 0.64705882 0.58823529
 0.58823529 0.58823529 0.58823529 0.52941176 0.52941176 0.52941176
 0.52941176 0.52941176 0.52941176 0.52941176 0.52941176 0.47058824
 0.47058824 0.41176471 0.41176471 0.35294118 0.35294118 0.29411765
 0.29411765 0.29411765 0.23529412 0.17647059 0.11764706 0.11764706
 0.05882353 0.         0.         0.        ]",0.43876652094688656,0.7538461538461538,SUN
9,"[0.         0.         0.         0.01818182 0.01818182 0.03636364
 0.03636364 0.07272727 0.07272727 0.16363636 0.16363636 0.25454545
 0.25454545 0.38181818 0.38181818 0.4        0.4        0.43636364
 0.43636364 0.52727273 0.52727273 0.58181818 0.58181818 0.63636364
 0.63636364 0.78181818 0.78181818 1.        ]","[0.         0.05882353 0.23529412 0.23529412 0.29411765 0.29411765
 0.35294118 0.35294118 0.41176471 0.41176471 0.52941176 0.52941176
 0.58823529 0.58823529 0.64705882 0.64705882 0.70588235 0.70588235
 0.76470588 0.76470588 0.82352941 0.82352941 0.88235294 0.88235294
 0.94117647 0.94117647 1.         1.        ]",0.7379679144385026,"[0.28333333 0.27118644 0.27586207 0.28070175 0.28571429 0.29090909
 0.2962963  0.30188679 0.30769231 0.31372549 0.3        0.30612245
 0.3125     0.31914894 0.30434783 0.31111111 0.31818182 0.3255814
 0.30952381 0.31707317 0.325      0.33333333 0.34210526 0.35135135
 0.33333333 0.34285714 0.35294118 0.33333333 0.34375    0.32258065
 0.33333333 0.34482759 0.35714286 0.37037037 0.38461538 0.4
 0.41666667 0.39130435 0.40909091 0.42857143 0.45       0.47368421
 0.5        0.47058824 0.4375     0.46666667 0.5        0.53846154
 0.58333333 0.63636364 0.6        0.66666667 0.75       0.71428571
 0.83333333 0.8        1.         1.         1.         1.
 1.        ]","[1.         0.94117647 0.94117647 0.94117647 0.94117647 0.94117647
 0.94117647 0.94117647 0.94117647 0.94117647 0.88235294 0.88235294
 0.88235294 0.88235294 0.82352941 0.82352941 0.82352941 0.82352941
 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588
 0.70588235 0.70588235 0.70588235 0.64705882 0.64705882 0.58823529
 0.58823529 0.58823529 0.58823529 0.58823529 0.58823529 0.58823529
 0.58823529 0.52941176 0.52941176 0.52941176 0.52941176 0.52941176
 0.52941176 0.47058824 0.41176471 0.41176471 0.41176471 0.41176471
 0.41176471 0.41176471 0.35294118 0.35294118 0.35294118 0.29411765
 0.29411765 0.23529412 0.23529412 0.17647059 0.11764706 0.05882353
 0.        ]",0.5821637385016563,0.7361111111111112,SUN
10,"[0.         0.         0.         0.03571429 0.03571429 0.07142857
 0.07142857 0.08928571 0.08928571 0.35714286 0.35714286 0.48214286
 0.48214286 0.69642857 0.69642857 0.89285714 0.89285714 1.        ]",[0.  0.1 0.3 0.3 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],0.7374999999999999,"[0.16666667 0.15254237 0.15517241 0.15789474 0.16071429 0.16363636
 0.16666667 0.16981132 0.17307692 0.17647059 0.18       0.18367347
 0.1875     0.17021277 0.17391304 0.17777778 0.18181818 0.18604651
 0.19047619 0.19512195 0.2        0.20512821 0.21052632 0.21621622
 0.22222222 0.22857143 0.20588235 0.21212121 0.21875    0.22580645
 0.23333333 0.24137931 0.25       0.25925926 0.23076923 0.24
 0.25       0.26086957 0.27272727 0.28571429 0.3        0.31578947
 0.33333333 0.35294118 0.375      0.4        0.42857143 0.46153846
 0.5        0.54545455 0.5        0.55555556 0.5        0.57142857
 0.66666667 0.6        0.75       1.         1.         1.
 1.        ]","[1.  0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.8 0.8 0.8 0.8 0.8
 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.6 0.6
 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.5 0.5 0.4 0.4
 0.4 0.3 0.3 0.3 0.2 0.1 0. ]",0.5609674122174122,0.6212121212121212,SUN
11,"[0.         0.01923077 0.01923077 0.11538462 0.11538462 0.13461538
 0.13461538 0.36538462 0.36538462 0.42307692 0.42307692 0.92307692
 0.92307692 1.        ]","[0.         0.         0.08333333 0.08333333 0.41666667 0.41666667
 0.75       0.75       0.83333333 0.83333333 0.91666667 0.91666667
 1.         1.        ]",0.7724358974358974,"[0.2        0.18644068 0.18965517 0.19298246 0.19642857 0.2
 0.2037037  0.20754717 0.21153846 0.21568627 0.22       0.2244898
 0.22916667 0.23404255 0.23913043 0.24444444 0.25       0.25581395
 0.26190476 0.26829268 0.275      0.28205128 0.28947368 0.2972973
 0.30555556 0.31428571 0.32352941 0.33333333 0.3125     0.32258065
 0.33333333 0.34482759 0.32142857 0.33333333 0.34615385 0.36
 0.375      0.39130435 0.40909091 0.42857143 0.45       0.47368421
 0.5        0.52941176 0.5625     0.53333333 0.5        0.46153846
 0.41666667 0.45454545 0.4        0.33333333 0.25       0.14285714
 0.16666667 0.2        0.25       0.33333333 0.5        0.
 1.        ]","[1.         0.91666667 0.91666667 0.91666667 0.91666667 0.91666667
 0.91666667 0.91666667 0.91666667 0.91666667 0.91666667 0.91666667
 0.91666667 0.91666667 0.91666667 0.91666667 0.91666667 0.91666667
 0.91666667 0.91666667 0.91666667 0.91666667 0.91666667 0.91666667
 0.91666667 0.91666667 0.91666667 0.91666667 0.83333333 0.83333333
 0.83333333 0.83333333 0.75       0.75       0.75       0.75
 0.75       0.75       0.75       0.75       0.75       0.75
 0.75       0.75       0.75       0.66666667 0.58333333 0.5
 0.41666667 0.41666667 0.33333333 0.25       0.16666667 0.08333333
 0.08333333 0.08333333 0.08333333 0.08333333 0.08333333 0.
 0.        ]",0.40611762519090105,0.765625,SUN
12,"[0.         0.         0.         0.03921569 0.03921569 0.05882353
 0.05882353 0.07843137 0.07843137 0.17647059 0.17647059 0.19607843
 0.19607843 0.45098039 0.45098039 0.47058824 0.47058824 0.58823529
 0.58823529 0.70588235 0.70588235 0.74509804 0.74509804 0.80392157
 0.80392157 1.        ]","[0.         0.05555556 0.16666667 0.16666667 0.22222222 0.22222222
 0.33333333 0.33333333 0.38888889 0.38888889 0.44444444 0.44444444
 0.5        0.5        0.55555556 0.55555556 0.72222222 0.72222222
 0.77777778 0.77777778 0.88888889 0.88888889 0.94444444 0.94444444
 1.         1.        ]",0.6655773420479303,"[0.30508475 0.29310345 0.29824561 0.30357143 0.30909091 0.2962963
 0.30188679 0.30769231 0.29411765 0.28       0.28571429 0.29166667
 0.29787234 0.30434783 0.31111111 0.31818182 0.30232558 0.30952381
 0.31707317 0.325      0.33333333 0.34210526 0.35135135 0.33333333
 0.31428571 0.29411765 0.3030303  0.28125    0.29032258 0.3
 0.31034483 0.32142857 0.33333333 0.34615385 0.36       0.375
 0.39130435 0.40909091 0.42857143 0.45       0.47368421 0.44444444
 0.47058824 0.4375     0.46666667 0.5        0.53846154 0.58333333
 0.63636364 0.6        0.66666667 0.625      0.57142857 0.66666667
 0.6        0.75       1.         1.         1.         1.        ]","[1.         0.94444444 0.94444444 0.94444444 0.94444444 0.88888889
 0.88888889 0.88888889 0.83333333 0.77777778 0.77777778 0.77777778
 0.77777778 0.77777778 0.77777778 0.77777778 0.72222222 0.72222222
 0.72222222 0.72222222 0.72222222 0.72222222 0.72222222 0.66666667
 0.61111111 0.55555556 0.55555556 0.5        0.5        0.5
 0.5        0.5        0.5        0.5        0.5        0.5
 0.5        0.5        0.5        0.5        0.5        0.44444444
 0.44444444 0.38888889 0.38888889 0.38888889 0.38888889 0.38888889
 0.38888889 0.33333333 0.33333333 0.27777778 0.22222222 0.22222222
 0.16666667 0.16666667 0.16666667 0.11111111 0.05555556 0.        ]",0.5208409747391487,0.6231884057971014,SUN
13,"[0.         0.02040816 0.02040816 0.06122449 0.06122449 0.10204082
 0.10204082 0.16326531 0.16326531 0.18367347 0.18367347 0.2244898
 0.2244898  0.28571429 0.28571429 0.30612245 0.30612245 0.32653061
 0.32653061 0.46938776 0.46938776 0.53061224 0.53061224 0.57142857
 0.57142857 0.65306122 0.65306122 1.        ]","[0.         0.         0.14285714 0.14285714 0.23809524 0.23809524
 0.38095238 0.38095238 0.42857143 0.42857143 0.47619048 0.47619048
 0.57142857 0.57142857 0.66666667 0.66666667 0.71428571 0.71428571
 0.80952381 0.80952381 0.85714286 0.85714286 0.9047619  0.9047619
 0.95238095 0.95238095 1.         1.        ]",0.7599611273080661,"[0.39622642 0.38461538 0.39215686 0.4        0.40816327 0.41666667
 0.40425532 0.41304348 0.42222222 0.40909091 0.41860465 0.42857143
 0.43902439 0.425      0.43589744 0.44736842 0.45945946 0.47222222
 0.48571429 0.5        0.51515152 0.5        0.48387097 0.5
 0.48275862 0.5        0.48148148 0.46153846 0.48       0.5
 0.52173913 0.5        0.47619048 0.5        0.52631579 0.5
 0.52941176 0.5        0.53333333 0.57142857 0.61538462 0.58333333
 0.54545455 0.5        0.55555556 0.625      0.57142857 0.5
 0.6        0.75       0.66666667 0.5        0.         1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.95238095 0.95238095
 0.9047619  0.9047619  0.9047619  0.85714286 0.85714286 0.85714286
 0.85714286 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.80952381 0.80952381 0.80952381 0.76190476 0.71428571 0.71428571
 0.66666667 0.66666667 0.61904762 0.57142857 0.57142857 0.57142857
 0.57142857 0.52380952 0.47619048 0.47619048 0.47619048 0.42857143
 0.42857143 0.38095238 0.38095238 0.38095238 0.38095238 0.33333333
 0.28571429 0.23809524 0.23809524 0.23809524 0.19047619 0.14285714
 0.14285714 0.14285714 0.0952381  0.04761905 0.         0.        ]",0.528833671797248,0.6714285714285714,SUN
