seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,time
0,"[0.    0.    0.    0.025 0.025 0.05  0.05  0.2   0.2   0.225 0.3   0.3
 0.475 0.475 0.55  0.55  0.575 0.575 0.65  0.65  0.725 0.775 0.85  0.95
 1.   ]","[0.     0.0625 0.125  0.125  0.4375 0.4375 0.5625 0.5625 0.625  0.6875
 0.6875 0.75   0.75   0.8125 0.8125 0.875  0.875  0.9375 0.9375 1.
 1.     1.     1.     1.     1.    ]",0.80078125,"[0.38095238 0.36585366 0.375      0.38461538 0.39473684 0.37837838
 0.38888889 0.37142857 0.40625    0.38709677 0.4        0.4137931
 0.42857143 0.44444444 0.46153846 0.48       0.5        0.47826087
 0.5        0.52380952 0.55       0.55555556 0.52941176 0.5625
 0.6        0.64285714 0.69230769 0.75       0.81818182 0.8
 0.77777778 0.875      0.85714286 0.83333333 0.8        0.75
 0.66666667 1.         1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.875  0.875  0.8125 0.8125 0.75
 0.75   0.75   0.75   0.75   0.75   0.75   0.75   0.6875 0.6875 0.6875
 0.6875 0.625  0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5625 0.5
 0.4375 0.4375 0.375  0.3125 0.25   0.1875 0.125  0.125  0.0625 0.    ]",0.6818776047600061,0.7142857142857143,proximal
1,"[0.         0.         0.         0.04255319 0.04255319 0.08510638
 0.08510638 0.08510638 0.12765957 0.12765957 0.14893617 0.14893617
 0.38297872 0.46808511 0.4893617  0.53191489 0.55319149 0.59574468
 0.59574468 0.65957447 0.65957447 0.70212766 0.76595745 0.82978723
 0.87234043 0.89361702 0.93617021 1.        ]","[0.         0.05882353 0.35294118 0.35294118 0.47058824 0.47058824
 0.52941176 0.64705882 0.64705882 0.70588235 0.70588235 0.76470588
 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588
 0.82352941 0.82352941 0.94117647 0.94117647 1.         1.
 1.         1.         1.         1.        ]",0.8078848560700875,"[0.32075472 0.32653061 0.33333333 0.34042553 0.32608696 0.31111111
 0.33333333 0.31707317 0.33333333 0.34210526 0.36111111 0.37142857
 0.39393939 0.41935484 0.43333333 0.44827586 0.46428571 0.48148148
 0.5        0.52       0.54166667 0.56521739 0.59090909 0.61904762
 0.65       0.63157895 0.66666667 0.64705882 0.6875     0.73333333
 0.69230769 0.66666667 0.72727273 0.8        0.77777778 0.75
 0.85714286 1.         1.         1.         1.         1.
 1.         1.        ]","[1.         0.94117647 0.94117647 0.94117647 0.88235294 0.82352941
 0.82352941 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588
 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588
 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588
 0.76470588 0.70588235 0.70588235 0.64705882 0.64705882 0.64705882
 0.52941176 0.47058824 0.47058824 0.47058824 0.41176471 0.35294118
 0.35294118 0.35294118 0.29411765 0.23529412 0.17647059 0.11764706
 0.05882353 0.        ]",0.7278834907158765,0.734375,proximal
2,"[0.         0.         0.         0.15217391 0.15217391 0.19565217
 0.23913043 0.23913043 0.26086957 0.26086957 0.56521739 0.60869565
 0.73913043 0.73913043 0.76086957 0.80434783 0.86956522 0.91304348
 1.        ]","[0.         0.09090909 0.36363636 0.36363636 0.45454545 0.45454545
 0.45454545 0.72727273 0.72727273 0.81818182 0.81818182 0.90909091
 0.90909091 1.         1.         1.         1.         1.
 1.        ]",0.7766798418972333,"[0.24444444 0.22727273 0.23255814 0.23809524 0.24390244 0.25
 0.25641026 0.26315789 0.25714286 0.26470588 0.27272727 0.28125
 0.29032258 0.3        0.31034483 0.32142857 0.33333333 0.34615385
 0.36       0.375      0.39130435 0.40909091 0.42857143 0.4
 0.42105263 0.38888889 0.35294118 0.3125     0.35714286 0.38461538
 0.41666667 0.36363636 0.4        0.44444444 0.5        0.57142857
 0.66666667 0.8        1.         1.         1.         1.
 1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.81818182 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182 0.72727273
 0.72727273 0.63636364 0.54545455 0.45454545 0.45454545 0.45454545
 0.45454545 0.36363636 0.36363636 0.36363636 0.36363636 0.36363636
 0.36363636 0.36363636 0.36363636 0.27272727 0.18181818 0.09090909
 0.        ]",0.5923384664870733,0.8070175438596491,proximal
3,"[0.         0.         0.         0.         0.         0.14285714
 0.14285714 0.2        0.22857143 0.22857143 0.37142857 0.42857143
 0.54285714 0.54285714 0.6        0.6        1.        ]","[0.         0.07692308 0.15384615 0.30769231 0.53846154 0.53846154
 0.69230769 0.69230769 0.76923077 0.84615385 0.84615385 0.84615385
 0.84615385 0.92307692 0.92307692 1.         1.        ]",0.856043956043956,"[0.38235294 0.36363636 0.375      0.38709677 0.36666667 0.37931034
 0.39285714 0.40740741 0.42307692 0.45833333 0.47826087 0.5
 0.52380952 0.55       0.57894737 0.55555556 0.5625     0.6
 0.64285714 0.61538462 0.58333333 0.63636364 0.7        0.77777778
 0.875      1.         1.         1.         1.         1.
 1.         1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.84615385 0.84615385
 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385
 0.84615385 0.84615385 0.84615385 0.76923077 0.69230769 0.69230769
 0.69230769 0.61538462 0.53846154 0.53846154 0.53846154 0.53846154
 0.53846154 0.53846154 0.46153846 0.38461538 0.30769231 0.15384615
 0.07692308 0.        ]",0.7817072613529525,0.7291666666666666,proximal
4,"[0.         0.         0.         0.04878049 0.04878049 0.07317073
 0.09756098 0.12195122 0.12195122 0.29268293 0.29268293 0.34146341
 0.41463415 0.46341463 0.51219512 0.56097561 0.90243902 0.95121951
 1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 1.         1.
 1.         1.         1.         1.         1.         1.
 1.        ]",0.8797909407665505,"[0.36842105 0.33333333 0.29411765 0.3125     0.33333333 0.35714286
 0.38461538 0.41666667 0.45454545 0.5        0.44444444 0.5
 0.5        0.6        0.5        0.66666667 1.         1.
 1.        ]","[1.         0.85714286 0.71428571 0.71428571 0.71428571 0.71428571
 0.71428571 0.71428571 0.71428571 0.71428571 0.57142857 0.57142857
 0.42857143 0.42857143 0.28571429 0.28571429 0.28571429 0.14285714
 0.        ]",0.6145363408521303,0.8541666666666666,proximal
5,"[0.         0.         0.         0.02083333 0.02083333 0.0625
 0.0625     0.10416667 0.125      0.125      0.22916667 0.25
 0.29166667 0.3125     0.33333333 0.375      0.39583333 0.39583333
 0.47916667 0.52083333 0.52083333 0.58333333 0.70833333 1.        ]","[0.     0.0625 0.3125 0.3125 0.5    0.5    0.625  0.625  0.625  0.6875
 0.6875 0.75   0.75   0.8125 0.8125 0.8125 0.875  0.9375 0.9375 0.9375
 1.     1.     1.     1.    ]",0.865234375,"[0.3902439  0.375      0.38461538 0.39473684 0.41666667 0.44117647
 0.42424242 0.41935484 0.44827586 0.46428571 0.46153846 0.48
 0.5        0.5        0.52380952 0.55       0.57894737 0.61111111
 0.64705882 0.625      0.66666667 0.76923077 0.75       0.72727273
 0.8        0.88888889 0.875      0.85714286 0.83333333 1.
 1.         1.         1.         1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.875  0.8125 0.8125 0.8125
 0.75   0.75   0.75   0.6875 0.6875 0.6875 0.6875 0.6875 0.6875 0.625
 0.625  0.625  0.5625 0.5    0.5    0.5    0.4375 0.375  0.3125 0.3125
 0.25   0.1875 0.125  0.0625 0.    ]",0.7504543656467079,0.75,proximal
6,"[0.         0.         0.         0.02439024 0.02439024 0.04878049
 0.04878049 0.14634146 0.14634146 0.26829268 0.26829268 0.31707317
 0.36585366 0.6097561  0.65853659 0.68292683 0.73170732 1.        ]","[0.         0.09090909 0.45454545 0.45454545 0.72727273 0.72727273
 0.81818182 0.81818182 0.90909091 0.90909091 1.         1.
 1.         1.         1.         1.         1.         1.        ]",0.9512195121951219,"[0.5        0.47619048 0.5        0.52631579 0.55555556 0.58823529
 0.625      0.6        0.64285714 0.69230769 0.75       0.81818182
 0.8        0.88888889 0.875      0.85714286 0.83333333 1.
 1.         1.         1.         1.         1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182
 0.72727273 0.72727273 0.63636364 0.54545455 0.45454545 0.45454545
 0.36363636 0.27272727 0.18181818 0.09090909 0.        ]",0.8694739603830515,0.7884615384615384,proximal
7,"[0.         0.         0.         0.02173913 0.02173913 0.04347826
 0.04347826 0.23913043 0.23913043 0.39130435 0.43478261 0.43478261
 0.45652174 0.45652174 0.54347826 0.54347826 0.60869565 0.67391304
 0.73913043 0.73913043 0.76086957 0.82608696 0.91304348 0.95652174
 0.95652174 1.        ]","[0.         0.07142857 0.14285714 0.14285714 0.35714286 0.35714286
 0.42857143 0.42857143 0.5        0.5        0.5        0.64285714
 0.64285714 0.78571429 0.78571429 0.85714286 0.85714286 0.85714286
 0.85714286 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 1.         1.        ]",0.6878881987577641,"[0.24137931 0.22807018 0.23636364 0.24074074 0.24528302 0.25
 0.25490196 0.27083333 0.27659574 0.26086957 0.26666667 0.27272727
 0.27906977 0.3        0.30769231 0.31578947 0.32432432 0.30555556
 0.31428571 0.32352941 0.33333333 0.34375    0.32258065 0.3
 0.31034483 0.28571429 0.25925926 0.28       0.29166667 0.30434783
 0.31818182 0.33333333 0.35       0.36842105 0.38888889 0.35294118
 0.375      0.4        0.42857143 0.46153846 0.5        0.54545455
 0.6        0.66666667 0.75       0.71428571 0.83333333 0.8
 0.75       0.66666667 1.         1.         1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.85714286 0.85714286 0.85714286
 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.78571429
 0.78571429 0.78571429 0.78571429 0.78571429 0.71428571 0.64285714
 0.64285714 0.57142857 0.5        0.5        0.5        0.5
 0.5        0.5        0.5        0.5        0.5        0.42857143
 0.42857143 0.42857143 0.42857143 0.42857143 0.42857143 0.42857143
 0.42857143 0.42857143 0.42857143 0.35714286 0.35714286 0.28571429
 0.21428571 0.14285714 0.14285714 0.07142857 0.        ]",0.544779382859572,0.7666666666666667,proximal
8,"[0.         0.         0.         0.02564103 0.02564103 0.1025641
 0.1025641  0.15384615 0.15384615 0.17948718 0.20512821 0.33333333
 0.33333333 0.41025641 0.41025641 0.43589744 0.43589744 0.61538462
 0.61538462 1.        ]","[0.         0.07692308 0.23076923 0.23076923 0.46153846 0.46153846
 0.53846154 0.53846154 0.61538462 0.61538462 0.69230769 0.69230769
 0.76923077 0.76923077 0.84615385 0.84615385 0.92307692 0.92307692
 1.         1.        ]",0.8214990138067062,"[0.35135135 0.33333333 0.34285714 0.35294118 0.36363636 0.375
 0.38709677 0.4        0.4137931  0.39285714 0.40740741 0.38461538
 0.4        0.41666667 0.43478261 0.40909091 0.42857143 0.45
 0.47368421 0.5        0.52941176 0.53333333 0.57142857 0.53846154
 0.58333333 0.63636364 0.6        0.66666667 0.75       0.85714286
 0.83333333 0.8        0.75       1.         1.         1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.92307692 0.92307692 0.84615385 0.84615385 0.76923077
 0.76923077 0.76923077 0.76923077 0.69230769 0.69230769 0.69230769
 0.69230769 0.69230769 0.69230769 0.61538462 0.61538462 0.53846154
 0.53846154 0.53846154 0.46153846 0.46153846 0.46153846 0.46153846
 0.38461538 0.30769231 0.23076923 0.23076923 0.07692308 0.        ]",0.6796165102982283,0.75,proximal
9,"[0.         0.         0.         0.02380952 0.02380952 0.04761905
 0.16666667 0.16666667 0.19047619 0.19047619 0.23809524 0.26190476
 0.4047619  0.42857143 0.47619048 0.5        0.5        0.5952381
 0.64285714 0.71428571 0.76190476 0.76190476 0.80952381 0.85714286
 0.85714286 1.        ]","[0.         0.04761905 0.38095238 0.38095238 0.47619048 0.52380952
 0.52380952 0.61904762 0.61904762 0.66666667 0.66666667 0.71428571
 0.71428571 0.76190476 0.76190476 0.76190476 0.80952381 0.80952381
 0.80952381 0.80952381 0.80952381 0.85714286 0.95238095 0.95238095
 1.         1.        ]",0.7636054421768708,"[0.36842105 0.35714286 0.36363636 0.37037037 0.36538462 0.36
 0.34693878 0.35416667 0.36170213 0.38636364 0.4047619  0.41463415
 0.425      0.43589744 0.44736842 0.43243243 0.44444444 0.47058824
 0.46875    0.48387097 0.5        0.51724138 0.53571429 0.55555556
 0.57692308 0.58333333 0.63636364 0.61904762 0.65       0.63157895
 0.61111111 0.64705882 0.6875     0.73333333 0.78571429 0.84615385
 0.90909091 0.9        0.88888889 1.         1.         1.
 1.         1.         1.         1.         1.         1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.9047619  0.85714286
 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.80952381 0.80952381 0.80952381 0.76190476 0.76190476 0.76190476
 0.71428571 0.71428571 0.71428571 0.71428571 0.71428571 0.71428571
 0.71428571 0.66666667 0.66666667 0.61904762 0.61904762 0.57142857
 0.52380952 0.52380952 0.52380952 0.52380952 0.52380952 0.52380952
 0.47619048 0.42857143 0.38095238 0.38095238 0.33333333 0.28571429
 0.23809524 0.19047619 0.14285714 0.0952381  0.04761905 0.        ]",0.739630624315867,0.6666666666666666,proximal
10,"[0.         0.         0.         0.04166667 0.0625     0.0625
 0.08333333 0.08333333 0.125      0.1875     0.1875     0.64583333
 0.6875     0.77083333 0.83333333 1.        ]","[0.         0.14285714 0.57142857 0.57142857 0.57142857 0.71428571
 0.71428571 0.85714286 0.85714286 0.85714286 1.         1.
 1.         1.         1.         1.        ]",0.9523809523809524,"[0.4375     0.4        0.42857143 0.46153846 0.5        0.6
 0.55555556 0.625      0.57142857 0.66666667 1.         1.
 1.         1.         1.        ]","[1.         0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.71428571 0.71428571 0.57142857 0.57142857 0.57142857 0.42857143
 0.28571429 0.14285714 0.        ]",0.8089285714285712,0.8727272727272727,proximal
11,"[0.    0.    0.    0.05  0.05  0.225 0.225 0.35  0.35  0.4   0.4   0.5
 0.6   0.875 0.925 1.   ]",[0.  0.1 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1.  1.  1.  1.  1.  1. ],0.8975,"[0.38461538 0.36       0.375      0.39130435 0.36363636 0.38095238
 0.4        0.42105263 0.44444444 0.47058824 0.4375     0.46666667
 0.5        0.53846154 0.58333333 0.63636364 0.7        0.77777778
 0.75       0.85714286 1.         1.         1.         1.
 1.         1.         1.        ]","[1.  0.9 0.9 0.9 0.8 0.8 0.8 0.8 0.8 0.8 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7
 0.6 0.6 0.6 0.5 0.4 0.3 0.2 0.1 0. ]",0.8024285745513366,0.8,proximal
12,"[0.         0.         0.         0.02564103 0.02564103 0.05128205
 0.1025641  0.15384615 0.15384615 0.20512821 0.33333333 0.33333333
 0.35897436 0.35897436 0.41025641 0.41025641 0.46153846 0.51282051
 0.58974359 0.64102564 0.66666667 0.66666667 0.84615385 0.84615385
 0.8974359  1.        ]","[0.         0.05555556 0.5        0.5        0.61111111 0.61111111
 0.66666667 0.66666667 0.72222222 0.72222222 0.72222222 0.77777778
 0.77777778 0.83333333 0.83333333 0.88888889 0.88888889 0.88888889
 0.88888889 0.88888889 0.88888889 0.94444444 0.94444444 1.
 1.         1.        ]",0.839031339031339,"[0.35294118 0.34       0.34693878 0.35416667 0.36170213 0.36956522
 0.37777778 0.38636364 0.39534884 0.38095238 0.3902439  0.41025641
 0.42105263 0.43243243 0.44444444 0.47058824 0.48484848 0.5
 0.48387097 0.5        0.51724138 0.5        0.51851852 0.5
 0.52       0.54166667 0.56521739 0.59090909 0.61904762 0.68421053
 0.66666667 0.70588235 0.75       0.84615385 0.91666667 0.90909091
 0.9        1.         1.         1.         1.         1.
 1.         1.         1.         1.         1.        ]","[1.         0.94444444 0.94444444 0.94444444 0.94444444 0.94444444
 0.94444444 0.94444444 0.94444444 0.88888889 0.88888889 0.88888889
 0.88888889 0.88888889 0.88888889 0.88888889 0.88888889 0.88888889
 0.83333333 0.83333333 0.83333333 0.77777778 0.77777778 0.72222222
 0.72222222 0.72222222 0.72222222 0.72222222 0.72222222 0.72222222
 0.66666667 0.66666667 0.66666667 0.61111111 0.61111111 0.55555556
 0.5        0.5        0.44444444 0.38888889 0.33333333 0.27777778
 0.22222222 0.16666667 0.11111111 0.05555556 0.        ]",0.8080010007545623,0.6842105263157895,proximal
13,"[0.         0.         0.         0.02222222 0.02222222 0.08888889
 0.08888889 0.13333333 0.13333333 0.17777778 0.17777778 0.2
 0.24444444 0.28888889 0.33333333 0.35555556 0.4        0.46666667
 0.46666667 0.53333333 0.62222222 0.64444444 0.66666667 0.66666667
 0.71111111 0.75555556 1.        ]","[0.     0.0625 0.375  0.375  0.625  0.625  0.6875 0.6875 0.75   0.75
 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.875  0.875
 0.875  0.875  0.9375 1.     1.     1.     1.    ]",0.857638888888889,"[0.34782609 0.33333333 0.3255814  0.33333333 0.35       0.36842105
 0.4        0.38235294 0.39393939 0.40625    0.41935484 0.44827586
 0.46428571 0.5        0.52       0.54166667 0.59090909 0.61904762
 0.6        0.63157895 0.66666667 0.64705882 0.6875     0.73333333
 0.71428571 0.76923077 0.83333333 0.90909091 0.9        0.88888889
 0.875      0.85714286 1.         1.         1.         1.
 1.         1.         1.        ]","[1.     0.9375 0.875  0.875  0.875  0.875  0.875  0.8125 0.8125 0.8125
 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.75   0.75
 0.75   0.6875 0.6875 0.6875 0.625  0.625  0.625  0.625  0.5625 0.5
 0.4375 0.375  0.375  0.3125 0.25   0.1875 0.125  0.0625 0.    ]",0.7920741773323294,0.7377049180327869,proximal
14,"[0.         0.         0.         0.05405405 0.05405405 0.13513514
 0.13513514 0.16216216 0.16216216 0.21621622 0.24324324 0.27027027
 0.32432432 0.35135135 0.35135135 0.37837838 0.43243243 0.48648649
 0.54054054 0.78378378 0.78378378 0.91891892 0.91891892 1.        ]","[0.     0.0625 0.5    0.5    0.5625 0.5625 0.6875 0.6875 0.75   0.75
 0.75   0.8125 0.8125 0.8125 0.875  0.875  0.875  0.875  0.875  0.875
 0.9375 0.9375 1.     1.    ]",0.825168918918919,"[0.32       0.30612245 0.3125     0.31914894 0.32608696 0.33333333
 0.34090909 0.3255814  0.33333333 0.34146341 0.35       0.35897436
 0.36842105 0.37837838 0.38888889 0.4        0.41176471 0.4375
 0.4516129  0.46666667 0.5        0.51851852 0.5        0.52
 0.56521739 0.57142857 0.6        0.66666667 0.64705882 0.6875
 0.66666667 0.64285714 0.69230769 0.75       0.81818182 0.8
 0.88888889 1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.875  0.875  0.875
 0.875  0.875  0.875  0.875  0.875  0.875  0.875  0.875  0.875  0.875
 0.875  0.875  0.8125 0.8125 0.8125 0.75   0.75   0.75   0.6875 0.6875
 0.625  0.5625 0.5625 0.5625 0.5625 0.5    0.5    0.5    0.4375 0.375
 0.3125 0.25   0.1875 0.125  0.0625 0.    ]",0.7864787595154443,0.6981132075471698,proximal
15,"[0.         0.         0.         0.02173913 0.02173913 0.06521739
 0.08695652 0.08695652 0.17391304 0.17391304 0.2173913  0.26086957
 0.32608696 0.36956522 0.39130435 0.43478261 0.54347826 0.58695652
 0.7173913  0.76086957 1.        ]","[0.     0.0625 0.125  0.125  0.625  0.625  0.6875 0.75   0.75   0.8125
 0.8125 0.8125 0.8125 0.875  0.9375 1.     1.     1.     1.     1.
 1.    ]",0.8967391304347826,"[0.44444444 0.45454545 0.4516129  0.46428571 0.48148148 0.5
 0.52       0.56521739 0.59090909 0.61904762 0.6        0.63157895
 0.66666667 0.70588235 0.75       0.73333333 0.76923077 0.83333333
 0.90909091 0.9        0.88888889 0.875      0.85714286 0.83333333
 0.8        0.75       0.66666667 1.         1.         1.        ]","[1.     0.9375 0.875  0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125
 0.75   0.75   0.75   0.75   0.75   0.6875 0.625  0.625  0.625  0.5625
 0.5    0.4375 0.375  0.3125 0.25   0.1875 0.125  0.125  0.0625 0.    ]",0.7666524839407904,0.7419354838709677,proximal
16,"[0.         0.         0.         0.         0.         0.05882353
 0.08823529 0.08823529 0.14705882 0.14705882 0.20588235 0.26470588
 0.26470588 0.29411765 0.35294118 0.55882353 0.61764706 0.61764706
 0.64705882 0.70588235 0.73529412 0.79411765 1.        ]","[0.         0.07692308 0.15384615 0.30769231 0.46153846 0.46153846
 0.46153846 0.61538462 0.61538462 0.69230769 0.69230769 0.69230769
 0.76923077 0.76923077 0.76923077 0.76923077 0.76923077 1.
 1.         1.         1.         1.         1.        ]",0.8122171945701357,"[0.38235294 0.36363636 0.34375    0.32258065 0.34482759 0.35714286
 0.37037037 0.38461538 0.4        0.41666667 0.43478261 0.45454545
 0.5        0.52631579 0.5        0.52941176 0.5625     0.64285714
 0.61538462 0.66666667 0.72727273 0.7        0.66666667 0.75
 1.         1.         1.         1.         1.         1.        ]","[1.         0.92307692 0.84615385 0.76923077 0.76923077 0.76923077
 0.76923077 0.76923077 0.76923077 0.76923077 0.76923077 0.76923077
 0.76923077 0.76923077 0.69230769 0.69230769 0.69230769 0.69230769
 0.61538462 0.61538462 0.61538462 0.53846154 0.46153846 0.46153846
 0.46153846 0.38461538 0.30769231 0.15384615 0.07692308 0.        ]",0.7450911511089529,0.723404255319149,proximal
17,"[0.         0.         0.         0.02702703 0.02702703 0.05405405
 0.05405405 0.08108108 0.08108108 0.10810811 0.10810811 0.16216216
 0.16216216 0.21621622 0.21621622 0.27027027 0.32432432 0.37837838
 0.43243243 0.45945946 0.51351351 0.62162162 0.64864865 0.75675676
 0.81081081 0.83783784 0.89189189 1.        ]","[0.         0.05555556 0.22222222 0.22222222 0.61111111 0.61111111
 0.66666667 0.66666667 0.72222222 0.72222222 0.77777778 0.77777778
 0.83333333 0.83333333 0.88888889 0.88888889 0.88888889 0.88888889
 0.88888889 0.94444444 0.94444444 0.94444444 1.         1.
 1.         1.         1.         1.        ]",0.8948948948948948,"[0.42857143 0.425      0.43589744 0.44736842 0.45945946 0.47222222
 0.5        0.5        0.53333333 0.55172414 0.57142857 0.61538462
 0.64       0.66666667 0.65217391 0.68181818 0.71428571 0.7
 0.73684211 0.77777778 0.76470588 0.8125     0.8        0.85714286
 0.84615385 0.91666667 0.90909091 0.9        0.88888889 0.875
 0.85714286 0.83333333 0.8        1.         1.         1.
 1.         1.        ]","[1.         0.94444444 0.94444444 0.94444444 0.94444444 0.94444444
 0.94444444 0.88888889 0.88888889 0.88888889 0.88888889 0.88888889
 0.88888889 0.88888889 0.83333333 0.83333333 0.83333333 0.77777778
 0.77777778 0.77777778 0.72222222 0.72222222 0.66666667 0.66666667
 0.61111111 0.61111111 0.55555556 0.5        0.44444444 0.38888889
 0.33333333 0.27777778 0.22222222 0.22222222 0.16666667 0.11111111
 0.05555556 0.        ]",0.8298370610870612,0.6727272727272727,proximal
18,"[0.         0.         0.         0.02325581 0.02325581 0.04651163
 0.06976744 0.06976744 0.11627907 0.11627907 0.23255814 0.25581395
 0.30232558 0.34883721 0.44186047 0.48837209 0.60465116 0.60465116
 0.62790698 0.62790698 0.6744186  0.6744186  0.72093023 0.76744186
 1.        ]","[0.     0.0625 0.125  0.125  0.25   0.25   0.3125 0.5625 0.5625 0.6875
 0.6875 0.75   0.75   0.8125 0.8125 0.8125 0.8125 0.875  0.875  0.9375
 0.9375 1.     1.     1.     1.    ]",0.8066860465116279,"[0.35555556 0.34090909 0.35714286 0.34146341 0.35       0.33333333
 0.34210526 0.35135135 0.36111111 0.37142857 0.38235294 0.40625
 0.41935484 0.43333333 0.44827586 0.46428571 0.48       0.5
 0.52173913 0.52380952 0.55       0.57894737 0.61111111 0.64705882
 0.6875     0.66666667 0.64285714 0.75       0.72727273 0.7
 0.66666667 0.625      0.66666667 0.8        0.75       0.66666667
 1.         1.         1.        ]","[1.     0.9375 0.9375 0.875  0.875  0.8125 0.8125 0.8125 0.8125 0.8125
 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.75   0.75   0.75   0.6875
 0.6875 0.6875 0.6875 0.6875 0.6875 0.625  0.5625 0.5625 0.5    0.4375
 0.375  0.3125 0.25   0.25   0.1875 0.125  0.125  0.0625 0.    ]",0.6513643323765606,0.7288135593220338,proximal
19,"[0.    0.    0.    0.025 0.025 0.05  0.05  0.1   0.1   0.175 0.25  0.35
 0.425 0.475 0.475 0.575 0.625 0.7   0.75  0.775 0.825 1.   ]","[0.         0.09090909 0.36363636 0.36363636 0.54545455 0.54545455
 0.63636364 0.63636364 0.72727273 0.72727273 0.72727273 0.72727273
 0.72727273 0.81818182 1.         1.         1.         1.
 1.         1.         1.         1.        ]",0.8545454545454546,"[0.36666667 0.34482759 0.32142857 0.32       0.33333333 0.34782609
 0.36363636 0.4        0.44444444 0.53333333 0.57142857 0.61538462
 0.66666667 0.63636364 0.7        0.77777778 0.75       0.85714286
 0.83333333 0.8        1.         1.         1.         1.
 1.        ]","[1.         0.90909091 0.81818182 0.72727273 0.72727273 0.72727273
 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273
 0.72727273 0.63636364 0.63636364 0.63636364 0.54545455 0.54545455
 0.45454545 0.36363636 0.36363636 0.27272727 0.18181818 0.09090909
 0.        ]",0.7425312235657063,0.7843137254901961,proximal
20,"[0.         0.         0.         0.04878049 0.04878049 0.12195122
 0.12195122 0.19512195 0.19512195 0.2195122  0.26829268 0.29268293
 0.3902439  0.41463415 0.56097561 0.6097561  0.65853659 0.70731707
 0.70731707 0.87804878 0.87804878 1.        ]","[0.         0.06666667 0.33333333 0.33333333 0.4        0.4
 0.46666667 0.46666667 0.6        0.66666667 0.66666667 0.73333333
 0.73333333 0.8        0.8        0.8        0.8        0.8
 0.93333333 0.93333333 1.         1.        ]",0.7504065040650406,"[0.29411765 0.28       0.28571429 0.29166667 0.29787234 0.30434783
 0.31111111 0.31818182 0.3255814  0.30952381 0.29268293 0.30769231
 0.31578947 0.32432432 0.34285714 0.35294118 0.36363636 0.375
 0.38709677 0.4        0.4137931  0.40740741 0.42307692 0.44
 0.45833333 0.47826087 0.47619048 0.5        0.52631579 0.52941176
 0.5        0.46666667 0.5        0.53846154 0.58333333 0.54545455
 0.6        0.66666667 0.75       0.71428571 0.83333333 1.
 1.         1.         1.         1.         1.        ]","[1.         0.93333333 0.93333333 0.93333333 0.93333333 0.93333333
 0.93333333 0.93333333 0.93333333 0.86666667 0.8        0.8
 0.8        0.8        0.8        0.8        0.8        0.8
 0.8        0.8        0.8        0.73333333 0.73333333 0.73333333
 0.73333333 0.73333333 0.66666667 0.66666667 0.66666667 0.6
 0.53333333 0.46666667 0.46666667 0.46666667 0.46666667 0.4
 0.4        0.4        0.4        0.33333333 0.33333333 0.33333333
 0.26666667 0.2        0.13333333 0.06666667 0.        ]",0.6473558474971909,0.7321428571428571,proximal
