seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,time
0,"[0.    0.    0.    0.025 0.025 0.075 0.075 0.15  0.15  0.325 0.325 0.55
 0.55  0.65  0.65  0.85  0.85  0.95  0.95  1.   ]","[0.     0.0625 0.125  0.125  0.375  0.375  0.5    0.5    0.625  0.625
 0.75   0.75   0.8125 0.8125 0.875  0.875  0.9375 0.9375 1.     1.    ]",0.7375,"[0.2962963  0.28301887 0.28846154 0.29411765 0.3        0.30612245
 0.29166667 0.29787234 0.30434783 0.31111111 0.31818182 0.3255814
 0.33333333 0.34146341 0.35       0.33333333 0.34210526 0.35135135
 0.36111111 0.37142857 0.35294118 0.36363636 0.375      0.38709677
 0.4        0.4137931  0.42857143 0.44444444 0.46153846 0.48
 0.45833333 0.43478261 0.45454545 0.47619048 0.5        0.52631579
 0.55555556 0.58823529 0.625      0.6        0.57142857 0.61538462
 0.66666667 0.72727273 0.7        0.66666667 0.75       0.85714286
 0.83333333 0.8        0.75       0.66666667 1.         1.
 1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.875  0.875  0.875  0.875
 0.875  0.875  0.875  0.875  0.875  0.8125 0.8125 0.8125 0.8125 0.8125
 0.75   0.75   0.75   0.75   0.75   0.75   0.75   0.75   0.75   0.75
 0.6875 0.625  0.625  0.625  0.625  0.625  0.625  0.625  0.625  0.5625
 0.5    0.5    0.5    0.5    0.4375 0.375  0.375  0.375  0.3125 0.25
 0.1875 0.125  0.125  0.0625 0.    ]",0.6346830979866693,0.5535714285714286,proximal
1,"[0.         0.0212766  0.0212766  0.04255319 0.04255319 0.08510638
 0.08510638 0.10638298 0.10638298 0.14893617 0.14893617 0.17021277
 0.17021277 0.34042553 0.34042553 0.38297872 0.38297872 0.46808511
 0.46808511 0.65957447 0.65957447 1.        ]","[0.         0.         0.23529412 0.23529412 0.52941176 0.52941176
 0.58823529 0.58823529 0.64705882 0.64705882 0.70588235 0.70588235
 0.76470588 0.76470588 0.82352941 0.82352941 0.88235294 0.88235294
 0.94117647 0.94117647 1.         1.        ]",0.8435544430538172,"[0.35416667 0.34042553 0.34782609 0.35555556 0.36363636 0.37209302
 0.38095238 0.3902439  0.4        0.41025641 0.42105263 0.40540541
 0.41666667 0.42857143 0.44117647 0.45454545 0.4375     0.4516129
 0.46666667 0.44827586 0.46428571 0.48148148 0.5        0.52
 0.54166667 0.56521739 0.59090909 0.61904762 0.6        0.63157895
 0.61111111 0.64705882 0.6875     0.66666667 0.71428571 0.69230769
 0.75       0.81818182 0.8        0.77777778 0.75       0.71428571
 0.66666667 0.8        0.75       0.66666667 0.5        0.
 1.        ]","[1.         0.94117647 0.94117647 0.94117647 0.94117647 0.94117647
 0.94117647 0.94117647 0.94117647 0.94117647 0.94117647 0.88235294
 0.88235294 0.88235294 0.88235294 0.88235294 0.82352941 0.82352941
 0.82352941 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588
 0.76470588 0.76470588 0.76470588 0.76470588 0.70588235 0.70588235
 0.64705882 0.64705882 0.64705882 0.58823529 0.58823529 0.52941176
 0.52941176 0.52941176 0.47058824 0.41176471 0.35294118 0.29411765
 0.23529412 0.23529412 0.17647059 0.11764706 0.05882353 0.
 0.        ]",0.6426915104159686,0.78125,proximal
2,"[0.         0.         0.         0.10869565 0.10869565 0.13043478
 0.13043478 0.26086957 0.26086957 0.30434783 0.30434783 0.34782609
 0.34782609 0.60869565 0.60869565 0.84782609 0.84782609 1.        ]","[0.         0.09090909 0.36363636 0.36363636 0.45454545 0.45454545
 0.54545455 0.54545455 0.63636364 0.63636364 0.72727273 0.72727273
 0.81818182 0.81818182 0.90909091 0.90909091 1.         1.        ]",0.7628458498023715,"[0.22       0.20408163 0.20833333 0.21276596 0.2173913  0.22222222
 0.22727273 0.23255814 0.23809524 0.24390244 0.25       0.25641026
 0.26315789 0.24324324 0.25       0.25714286 0.26470588 0.27272727
 0.28125    0.29032258 0.3        0.31034483 0.32142857 0.33333333
 0.34615385 0.36       0.33333333 0.34782609 0.36363636 0.33333333
 0.35       0.36842105 0.33333333 0.35294118 0.375      0.4
 0.42857143 0.46153846 0.5        0.45454545 0.5        0.44444444
 0.5        0.57142857 0.66666667 0.8        1.         1.
 1.         1.         1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.72727273 0.72727273 0.72727273 0.63636364
 0.63636364 0.63636364 0.54545455 0.54545455 0.54545455 0.54545455
 0.54545455 0.54545455 0.54545455 0.45454545 0.45454545 0.36363636
 0.36363636 0.36363636 0.36363636 0.36363636 0.36363636 0.27272727
 0.18181818 0.09090909 0.        ]",0.5977468464549804,0.7894736842105263,proximal
3,"[0.         0.         0.         0.02857143 0.02857143 0.11428571
 0.11428571 0.14285714 0.14285714 0.22857143 0.22857143 0.31428571
 0.31428571 0.37142857 0.37142857 0.71428571 0.71428571 1.        ]","[0.         0.07692308 0.30769231 0.30769231 0.38461538 0.38461538
 0.46153846 0.46153846 0.53846154 0.53846154 0.76923077 0.76923077
 0.84615385 0.84615385 0.92307692 0.92307692 1.         1.        ]",0.8175824175824177,"[0.34210526 0.32432432 0.33333333 0.34285714 0.35294118 0.36363636
 0.375      0.38709677 0.4        0.4137931  0.42857143 0.44444444
 0.46153846 0.48       0.45833333 0.47826087 0.5        0.47619048
 0.5        0.52631579 0.55555556 0.52941176 0.5        0.46666667
 0.5        0.53846154 0.58333333 0.54545455 0.6        0.55555556
 0.625      0.71428571 0.83333333 0.8        1.         1.
 1.         1.         1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.92307692 0.84615385 0.84615385 0.84615385 0.76923077
 0.76923077 0.76923077 0.76923077 0.69230769 0.61538462 0.53846154
 0.53846154 0.53846154 0.53846154 0.46153846 0.46153846 0.38461538
 0.38461538 0.38461538 0.38461538 0.30769231 0.30769231 0.23076923
 0.15384615 0.07692308 0.        ]",0.6864414807758461,0.7291666666666666,proximal
4,"[0.         0.         0.         0.04878049 0.04878049 0.12195122
 0.12195122 0.2195122  0.2195122  1.        ]","[0.         0.14285714 0.57142857 0.57142857 0.71428571 0.71428571
 0.85714286 0.85714286 1.         1.        ]",0.9442508710801394,"[0.4375     0.4        0.42857143 0.46153846 0.5        0.54545455
 0.5        0.55555556 0.625      0.71428571 0.66666667 0.8
 1.         1.         1.         1.         1.        ]","[1.         0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.71428571 0.71428571 0.71428571 0.71428571 0.57142857 0.57142857
 0.57142857 0.42857143 0.28571429 0.14285714 0.        ]",0.8138914656771801,0.8958333333333334,proximal
5,"[0.         0.02083333 0.02083333 0.08333333 0.08333333 0.10416667
 0.10416667 0.125      0.125      0.1875     0.1875     0.25
 0.25       0.33333333 0.33333333 0.375      0.375      0.41666667
 0.41666667 0.5        0.5        1.        ]","[0.     0.     0.25   0.25   0.3125 0.3125 0.375  0.375  0.4375 0.4375
 0.5625 0.5625 0.75   0.75   0.8125 0.8125 0.875  0.875  0.9375 0.9375
 1.     1.    ]",0.8033854166666667,"[0.4        0.38461538 0.39473684 0.40540541 0.41666667 0.42857143
 0.41176471 0.42424242 0.4375     0.41935484 0.43333333 0.44827586
 0.42857143 0.44444444 0.46153846 0.48       0.5        0.47826087
 0.45454545 0.42857143 0.45       0.47368421 0.5        0.47058824
 0.4375     0.46666667 0.5        0.53846154 0.5        0.54545455
 0.5        0.55555556 0.5        0.57142857 0.66666667 0.8
 0.75       0.66666667 0.5        0.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.875  0.875  0.875  0.8125
 0.8125 0.8125 0.75   0.75   0.75   0.75   0.75   0.6875 0.625  0.5625
 0.5625 0.5625 0.5625 0.5    0.4375 0.4375 0.4375 0.4375 0.375  0.375
 0.3125 0.3125 0.25   0.25   0.25   0.25   0.1875 0.125  0.0625 0.
 0.    ]",0.5296175097614682,0.71875,proximal
6,"[0.         0.         0.         0.02439024 0.02439024 0.04878049
 0.04878049 0.09756098 0.09756098 0.14634146 0.14634146 0.17073171
 0.17073171 1.        ]","[0.         0.09090909 0.27272727 0.27272727 0.45454545 0.45454545
 0.63636364 0.63636364 0.72727273 0.72727273 0.81818182 0.81818182
 1.         1.        ]",0.9334811529933481,"[0.61111111 0.58823529 0.5625     0.6        0.57142857 0.61538462
 0.66666667 0.63636364 0.7        0.77777778 0.75       0.71428571
 0.83333333 0.8        0.75       1.         1.         1.
 1.        ]","[1.         0.90909091 0.81818182 0.81818182 0.72727273 0.72727273
 0.72727273 0.63636364 0.63636364 0.63636364 0.54545455 0.45454545
 0.45454545 0.36363636 0.27272727 0.27272727 0.18181818 0.09090909
 0.        ]",0.7842840166369578,0.8653846153846154,proximal
7,"[0.         0.         0.02173913 0.02173913 0.06521739 0.06521739
 0.08695652 0.08695652 0.13043478 0.13043478 0.17391304 0.17391304
 0.19565217 0.19565217 0.41304348 0.41304348 0.63043478 0.63043478
 0.76086957 0.76086957 0.95652174 0.95652174 1.        ]","[0.         0.07142857 0.07142857 0.28571429 0.28571429 0.35714286
 0.35714286 0.42857143 0.42857143 0.5        0.5        0.57142857
 0.57142857 0.64285714 0.64285714 0.71428571 0.71428571 0.85714286
 0.85714286 0.92857143 0.92857143 1.         1.        ]",0.7065217391304348,"[0.24137931 0.22807018 0.23214286 0.23636364 0.24074074 0.24528302
 0.25       0.25490196 0.26       0.26530612 0.27083333 0.25531915
 0.26086957 0.26666667 0.27272727 0.27906977 0.28571429 0.29268293
 0.275      0.25641026 0.26315789 0.27027027 0.27777778 0.28571429
 0.29411765 0.3030303  0.3125     0.32258065 0.33333333 0.34482759
 0.32142857 0.33333333 0.34615385 0.36       0.375      0.39130435
 0.40909091 0.42857143 0.45       0.47368421 0.5        0.47058824
 0.5        0.46666667 0.5        0.53846154 0.5        0.54545455
 0.6        0.55555556 0.625      0.57142857 0.66666667 0.8
 0.75       0.66666667 0.5        1.         1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143 0.85714286
 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.78571429 0.71428571 0.71428571 0.71428571 0.71428571 0.71428571
 0.71428571 0.71428571 0.71428571 0.71428571 0.71428571 0.71428571
 0.64285714 0.64285714 0.64285714 0.64285714 0.64285714 0.64285714
 0.64285714 0.64285714 0.64285714 0.64285714 0.64285714 0.57142857
 0.57142857 0.5        0.5        0.5        0.42857143 0.42857143
 0.42857143 0.35714286 0.35714286 0.28571429 0.28571429 0.28571429
 0.21428571 0.14285714 0.07142857 0.07142857 0.        ]",0.5289179544173236,0.6833333333333333,proximal
8,"[0.         0.         0.         0.05128205 0.05128205 0.07692308
 0.07692308 0.15384615 0.15384615 0.23076923 0.23076923 0.28205128
 0.28205128 0.43589744 0.43589744 0.74358974 0.74358974 1.        ]","[0.         0.07692308 0.38461538 0.38461538 0.46153846 0.46153846
 0.61538462 0.61538462 0.69230769 0.69230769 0.76923077 0.76923077
 0.84615385 0.84615385 0.92307692 0.92307692 1.         1.        ]",0.8422090729783037,"[0.30952381 0.29268293 0.3        0.30769231 0.31578947 0.32432432
 0.33333333 0.34285714 0.35294118 0.36363636 0.375      0.38709677
 0.4        0.4137931  0.39285714 0.40740741 0.42307692 0.44
 0.45833333 0.47826087 0.5        0.47619048 0.5        0.52631579
 0.5        0.52941176 0.5625     0.6        0.57142857 0.61538462
 0.66666667 0.72727273 0.7        0.66666667 0.75       0.71428571
 0.83333333 1.         1.         1.         1.         1.
 1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.92307692 0.84615385 0.84615385 0.84615385 0.84615385
 0.84615385 0.84615385 0.84615385 0.76923077 0.76923077 0.76923077
 0.69230769 0.69230769 0.69230769 0.69230769 0.61538462 0.61538462
 0.61538462 0.61538462 0.53846154 0.46153846 0.46153846 0.38461538
 0.38461538 0.38461538 0.30769231 0.23076923 0.15384615 0.07692308
 0.        ]",0.732838879209115,0.8076923076923077,proximal
9,"[0.         0.         0.         0.02380952 0.02380952 0.04761905
 0.04761905 0.07142857 0.07142857 0.14285714 0.14285714 0.19047619
 0.19047619 0.26190476 0.26190476 0.35714286 0.35714286 0.57142857
 0.57142857 0.5952381  0.5952381  0.80952381 0.80952381 1.        ]","[0.         0.04761905 0.33333333 0.33333333 0.42857143 0.42857143
 0.52380952 0.52380952 0.57142857 0.57142857 0.61904762 0.61904762
 0.66666667 0.66666667 0.71428571 0.71428571 0.76190476 0.76190476
 0.85714286 0.85714286 0.95238095 0.95238095 1.         1.        ]",0.7947845804988662,"[0.38181818 0.37037037 0.37735849 0.38461538 0.39215686 0.4
 0.40816327 0.41666667 0.42553191 0.43478261 0.44444444 0.43181818
 0.41860465 0.42857143 0.41463415 0.4        0.41025641 0.42105263
 0.43243243 0.44444444 0.45714286 0.47058824 0.48484848 0.5
 0.51612903 0.5        0.51724138 0.53571429 0.55555556 0.57692308
 0.56       0.58333333 0.60869565 0.63636364 0.61904762 0.65
 0.68421053 0.66666667 0.70588235 0.75       0.8        0.78571429
 0.84615385 0.83333333 0.81818182 0.9        0.88888889 0.875
 1.         1.         1.         1.         1.         1.
 1.         1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.95238095 0.95238095
 0.95238095 0.95238095 0.95238095 0.95238095 0.95238095 0.9047619
 0.85714286 0.85714286 0.80952381 0.76190476 0.76190476 0.76190476
 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476 0.76190476
 0.76190476 0.71428571 0.71428571 0.71428571 0.71428571 0.71428571
 0.66666667 0.66666667 0.66666667 0.66666667 0.61904762 0.61904762
 0.61904762 0.57142857 0.57142857 0.57142857 0.57142857 0.52380952
 0.52380952 0.47619048 0.42857143 0.42857143 0.38095238 0.33333333
 0.33333333 0.28571429 0.23809524 0.19047619 0.14285714 0.0952381
 0.04761905 0.        ]",0.7515851772966828,0.7619047619047619,proximal
10,"[0.         0.         0.         0.27083333 0.27083333 0.33333333
 0.33333333 1.        ]","[0.         0.14285714 0.42857143 0.42857143 0.85714286 0.85714286
 1.         1.        ]",0.8363095238095238,"[0.30434783 0.27272727 0.28571429 0.3        0.31578947 0.27777778
 0.23529412 0.1875     0.2        0.21428571 0.23076923 0.25
 0.27272727 0.3        0.33333333 0.375      0.42857143 0.5
 0.6        0.75       1.         1.         1.         1.        ]","[1.         0.85714286 0.85714286 0.85714286 0.85714286 0.71428571
 0.57142857 0.42857143 0.42857143 0.42857143 0.42857143 0.42857143
 0.42857143 0.42857143 0.42857143 0.42857143 0.42857143 0.42857143
 0.42857143 0.42857143 0.42857143 0.28571429 0.14285714 0.        ]",0.5904584564565719,0.7454545454545455,proximal
11,"[0.    0.    0.05  0.05  0.125 0.125 0.15  0.15  0.175 0.175 0.475 0.475
 0.85  0.85  1.   ]",[0.  0.1 0.1 0.2 0.2 0.3 0.3 0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],0.7725000000000001,"[0.22727273 0.20930233 0.21428571 0.2195122  0.225      0.23076923
 0.23684211 0.24324324 0.25       0.25714286 0.26470588 0.27272727
 0.28125    0.29032258 0.3        0.31034483 0.32142857 0.2962963
 0.30769231 0.32       0.33333333 0.34782609 0.36363636 0.38095238
 0.4        0.42105263 0.44444444 0.47058824 0.5        0.53333333
 0.5        0.53846154 0.5        0.45454545 0.4        0.33333333
 0.375      0.28571429 0.33333333 0.4        0.5        0.33333333
 0.5        1.         1.        ]","[1.  0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.9 0.8
 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.7 0.7 0.6 0.5 0.4 0.3
 0.3 0.2 0.2 0.2 0.2 0.1 0.1 0.1 0. ]",0.48500416250416256,0.78,proximal
12,"[0.         0.         0.         0.02564103 0.02564103 0.23076923
 0.23076923 0.41025641 0.41025641 0.69230769 0.69230769 0.76923077
 0.76923077 0.82051282 0.82051282 0.87179487 0.87179487 1.        ]","[0.         0.05555556 0.33333333 0.33333333 0.5        0.5
 0.66666667 0.66666667 0.77777778 0.77777778 0.83333333 0.83333333
 0.88888889 0.88888889 0.94444444 0.94444444 1.         1.        ]",0.7364672364672364,"[0.34615385 0.33333333 0.34       0.34693878 0.33333333 0.34042553
 0.34782609 0.33333333 0.34090909 0.34883721 0.35714286 0.34146341
 0.35       0.35897436 0.36842105 0.37837838 0.38888889 0.4
 0.41176471 0.42424242 0.4375     0.4516129  0.46666667 0.44827586
 0.42857143 0.44444444 0.46153846 0.48       0.5        0.52173913
 0.54545455 0.57142857 0.55       0.52631579 0.5        0.52941176
 0.5625     0.6        0.64285714 0.69230769 0.75       0.81818182
 0.9        0.88888889 0.875      0.85714286 1.         1.
 1.         1.         1.         1.         1.        ]","[1.         0.94444444 0.94444444 0.94444444 0.88888889 0.88888889
 0.88888889 0.83333333 0.83333333 0.83333333 0.83333333 0.77777778
 0.77777778 0.77777778 0.77777778 0.77777778 0.77777778 0.77777778
 0.77777778 0.77777778 0.77777778 0.77777778 0.77777778 0.72222222
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.61111111 0.55555556 0.5        0.5
 0.5        0.5        0.5        0.5        0.5        0.5
 0.5        0.44444444 0.38888889 0.33333333 0.33333333 0.27777778
 0.22222222 0.16666667 0.11111111 0.05555556 0.        ]",0.7013687413494559,0.7017543859649122,proximal
13,"[0.         0.         0.         0.04444444 0.04444444 0.06666667
 0.06666667 0.13333333 0.13333333 0.15555556 0.15555556 0.35555556
 0.35555556 0.82222222 0.82222222 1.        ]","[0.     0.0625 0.25   0.25   0.5    0.5    0.6875 0.6875 0.75   0.75
 0.875  0.875  0.9375 0.9375 1.     1.    ]",0.875,"[0.30188679 0.28846154 0.29411765 0.3        0.30612245 0.3125
 0.31914894 0.32608696 0.33333333 0.34090909 0.34883721 0.35714286
 0.36585366 0.375      0.38461538 0.39473684 0.40540541 0.41666667
 0.42857143 0.44117647 0.45454545 0.46875    0.48387097 0.46666667
 0.48275862 0.5        0.51851852 0.53846154 0.56       0.58333333
 0.60869565 0.63636364 0.66666667 0.65       0.63157895 0.66666667
 0.64705882 0.6875     0.73333333 0.78571429 0.76923077 0.75
 0.72727273 0.8        0.77777778 0.75       0.71428571 0.66666667
 0.8        1.         1.         1.         1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375
 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375
 0.9375 0.9375 0.9375 0.875  0.875  0.875  0.875  0.875  0.875  0.875
 0.875  0.875  0.875  0.8125 0.75   0.75   0.6875 0.6875 0.6875 0.6875
 0.625  0.5625 0.5    0.5    0.4375 0.375  0.3125 0.25   0.25   0.25
 0.1875 0.125  0.0625 0.    ]",0.7572562275335404,0.819672131147541,proximal
14,"[0.         0.         0.         0.02702703 0.02702703 0.08108108
 0.08108108 0.13513514 0.13513514 0.21621622 0.21621622 0.59459459
 0.59459459 0.62162162 0.62162162 0.86486486 0.86486486 1.        ]","[0.     0.0625 0.25   0.25   0.5    0.5    0.6875 0.6875 0.75   0.75
 0.8125 0.8125 0.875  0.875  0.9375 0.9375 1.     1.    ]",0.8260135135135135,"[0.33333333 0.31914894 0.32608696 0.33333333 0.34090909 0.34883721
 0.35714286 0.36585366 0.375      0.38461538 0.39473684 0.37837838
 0.38888889 0.37142857 0.38235294 0.39393939 0.40625    0.41935484
 0.43333333 0.44827586 0.46428571 0.48148148 0.5        0.52
 0.54166667 0.56521739 0.59090909 0.61904762 0.6        0.63157895
 0.66666667 0.70588235 0.6875     0.73333333 0.78571429 0.76923077
 0.75       0.72727273 0.8        0.88888889 0.875      0.85714286
 0.83333333 0.8        1.         1.         1.         1.
 1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375
 0.9375 0.875  0.875  0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125
 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.75   0.75
 0.75   0.75   0.6875 0.6875 0.6875 0.625  0.5625 0.5    0.5    0.5
 0.4375 0.375  0.3125 0.25   0.25   0.1875 0.125  0.0625 0.    ]",0.762574948164151,0.7169811320754716,proximal
15,"[0.         0.         0.04347826 0.04347826 0.06521739 0.06521739
 0.08695652 0.08695652 0.17391304 0.17391304 0.26086957 0.26086957
 0.30434783 0.30434783 0.34782609 0.34782609 0.39130435 0.39130435
 0.69565217 0.69565217 1.        ]","[0.     0.0625 0.0625 0.125  0.125  0.3125 0.3125 0.5    0.5    0.625
 0.625  0.6875 0.6875 0.8125 0.8125 0.875  0.875  0.9375 0.9375 1.
 1.    ]",0.8029891304347827,"[0.33333333 0.31914894 0.32608696 0.33333333 0.34090909 0.34883721
 0.35714286 0.36585366 0.375      0.38461538 0.39473684 0.40540541
 0.41666667 0.42857143 0.44117647 0.45454545 0.4375     0.4516129
 0.46666667 0.44827586 0.46428571 0.48148148 0.46153846 0.44
 0.45833333 0.47826087 0.45454545 0.47619048 0.5        0.52631579
 0.55555556 0.52941176 0.5        0.53333333 0.57142857 0.61538462
 0.66666667 0.63636364 0.6        0.55555556 0.625      0.57142857
 0.5        0.4        0.5        0.33333333 0.5        1.
 1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375
 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.875  0.875  0.875  0.8125
 0.8125 0.8125 0.75   0.6875 0.6875 0.6875 0.625  0.625  0.625  0.625
 0.625  0.5625 0.5    0.5    0.5    0.5    0.5    0.4375 0.375  0.3125
 0.3125 0.25   0.1875 0.125  0.125  0.0625 0.0625 0.0625 0.    ]",0.5537657788656829,0.7580645161290323,proximal
16,"[0.         0.         0.         0.08823529 0.08823529 0.20588235
 0.20588235 0.29411765 0.29411765 0.38235294 0.38235294 0.41176471
 0.41176471 0.61764706 0.61764706 0.67647059 0.67647059 1.        ]","[0.         0.07692308 0.46153846 0.46153846 0.53846154 0.53846154
 0.61538462 0.61538462 0.69230769 0.69230769 0.76923077 0.76923077
 0.84615385 0.84615385 0.92307692 0.92307692 1.         1.        ]",0.7941176470588236,"[0.36111111 0.34285714 0.35294118 0.36363636 0.34375    0.35483871
 0.36666667 0.37931034 0.39285714 0.40740741 0.42307692 0.44
 0.41666667 0.43478261 0.40909091 0.42857143 0.45       0.47368421
 0.44444444 0.47058824 0.5        0.53333333 0.5        0.53846154
 0.58333333 0.63636364 0.7        0.66666667 0.75       0.85714286
 1.         1.         1.         1.         1.         1.
 1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.84615385 0.84615385
 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385
 0.76923077 0.76923077 0.69230769 0.69230769 0.69230769 0.69230769
 0.61538462 0.61538462 0.61538462 0.61538462 0.53846154 0.53846154
 0.53846154 0.53846154 0.53846154 0.46153846 0.46153846 0.46153846
 0.46153846 0.38461538 0.30769231 0.23076923 0.15384615 0.07692308
 0.        ]",0.7158882790232903,0.7021276595744681,proximal
17,"[0.         0.         0.         0.02702703 0.02702703 0.05405405
 0.05405405 0.08108108 0.08108108 0.10810811 0.10810811 0.16216216
 0.16216216 0.18918919 0.18918919 0.21621622 0.21621622 0.27027027
 0.27027027 0.35135135 0.35135135 1.        ]","[0.         0.05555556 0.16666667 0.16666667 0.27777778 0.27777778
 0.5        0.5        0.55555556 0.55555556 0.66666667 0.66666667
 0.72222222 0.72222222 0.77777778 0.77777778 0.83333333 0.83333333
 0.94444444 0.94444444 1.         1.        ]",0.8873873873873874,"[0.58064516 0.56666667 0.5862069  0.60714286 0.62962963 0.61538462
 0.6        0.625      0.65217391 0.63636364 0.66666667 0.65
 0.68421053 0.66666667 0.70588235 0.75       0.73333333 0.71428571
 0.76923077 0.75       0.81818182 0.8        0.77777778 0.75
 0.71428571 0.83333333 0.8        0.75       1.         1.
 1.         1.        ]","[1.         0.94444444 0.94444444 0.94444444 0.94444444 0.88888889
 0.83333333 0.83333333 0.83333333 0.77777778 0.77777778 0.72222222
 0.72222222 0.66666667 0.66666667 0.66666667 0.61111111 0.55555556
 0.55555556 0.5        0.5        0.44444444 0.38888889 0.33333333
 0.27777778 0.27777778 0.22222222 0.16666667 0.16666667 0.11111111
 0.05555556 0.        ]",0.7700315302326407,0.7818181818181819,proximal
18,"[0.         0.         0.         0.06976744 0.06976744 0.13953488
 0.13953488 0.1627907  0.1627907  0.18604651 0.18604651 0.30232558
 0.30232558 0.55813953 0.55813953 0.74418605 0.74418605 1.        ]","[0.     0.0625 0.5    0.5    0.5625 0.5625 0.625  0.625  0.6875 0.6875
 0.75   0.75   0.8125 0.8125 0.9375 0.9375 1.     1.    ]",0.8299418604651163,"[0.33333333 0.31914894 0.32608696 0.33333333 0.34090909 0.34883721
 0.35714286 0.36585366 0.375      0.38461538 0.36842105 0.35135135
 0.36111111 0.37142857 0.38235294 0.39393939 0.40625    0.41935484
 0.43333333 0.44827586 0.46428571 0.48148148 0.5        0.48
 0.5        0.52173913 0.54545455 0.57142857 0.6        0.57894737
 0.61111111 0.58823529 0.625      0.6        0.64285714 0.69230769
 0.75       0.72727273 0.8        0.88888889 1.         1.
 1.         1.         1.         1.         1.         1.
 1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375
 0.875  0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125
 0.8125 0.8125 0.8125 0.75   0.75   0.75   0.75   0.75   0.75   0.6875
 0.6875 0.625  0.625  0.5625 0.5625 0.5625 0.5625 0.5    0.5    0.5
 0.5    0.4375 0.375  0.3125 0.25   0.1875 0.125  0.0625 0.    ]",0.760780055105713,0.8305084745762712,proximal
19,[0.    0.025 0.025 0.125 0.125 0.175 0.175 0.325 0.325 1.   ],"[0.         0.         0.09090909 0.09090909 0.18181818 0.18181818
 0.90909091 0.90909091 1.         1.        ]",0.8295454545454546,"[0.45833333 0.43478261 0.45454545 0.47619048 0.5        0.52631579
 0.55555556 0.58823529 0.5625     0.53333333 0.5        0.46153846
 0.41666667 0.36363636 0.3        0.22222222 0.25       0.28571429
 0.16666667 0.2        0.25       0.33333333 0.5        0.
 1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.81818182 0.72727273 0.63636364 0.54545455
 0.45454545 0.36363636 0.27272727 0.18181818 0.18181818 0.18181818
 0.09090909 0.09090909 0.09090909 0.09090909 0.09090909 0.
 0.        ]",0.45181433984909924,0.7450980392156863,proximal
